レースコード,レース日,レース場コード,レース回,状態,荒れ度,P_その他_1,P_その他_2,P_その他_3,P_その他_4,P_その他_5,P_その他_6,P_まくり_2,P_まくり_3,P_まくり_4,P_まくり_5,P_まくり_6,P_まくり差し_3,P_まくり差し_4,P_まくり差し_5,P_まくり差し_6,P_差し_2,P_差し_3,P_差し_4,P_差し_5,P_差し_6,P_抜き_1,P_抜き_2,P_抜き_3,P_抜き_4,P_抜き_5,P_抜き_6,P_恵まれ_2,P_恵まれ_3,P_恵まれ_4,P_恵まれ_5,P_逃げ_1,P_逃げ_2
202609050101,2026-09-05,01,01R,daily,0.7805,0.005393,0.004088,0.001286,0.000448,0.000302,0.001269,0.091588,0.065111,0.134511,0.021665,0.024230,0.042361,0.056813,0.042244,0.039455,0.078384,0.030665,0.028490,0.006016,0.014937,0.012957,0.012752,0.014251,0.013539,0.008655,0.013956,0.001188,0.001947,0.001241,0.002215,0.219450,0.008596
202609050101,2026-09-05,01,01R,realtime,0.6862,0.002997,0.001568,0.000749,0.000442,0.000358,0.001308,0.055327,0.056017,0.124539,0.012519,0.015922,0.046702,0.054695,0.030904,0.043550,0.074184,0.023774,0.032394,0.004868,0.013689,0.016635,0.014252,0.016083,0.010625,0.009104,0.012412,0.000932,0.001316,0.001185,0.002148,0.313823,0.004980
202609050102,2026-09-05,01,02R,daily,0.6397,0.005680,0.002403,0.001121,0.000295,0.000341,0.001120,0.045820,0.073809,0.044899,0.051564,0.011323,0.047429,0.017049,0.080223,0.039473,0.077331,0.022802,0.011217,0.011899,0.009273,0.019645,0.009018,0.016388,0.008705,0.008758,0.007846,0.001332,0.001164,0.000993,0.002070,0.360341,0.008669
202609050102,2026-09-05,01,02R,realtime,0.5747,0.002428,0.001028,0.000989,0.000273,0.000346,0.000956,0.023946,0.088464,0.036166,0.020994,0.012273,0.059582,0.013044,0.083956,0.023599,0.069423,0.020528,0.010742,0.007978,0.012290,0.023759,0.008895,0.020534,0.008168,0.008121,0.007194,0.001066,0.000933,0.000764,0.001868,0.425258,0.004434
202609050103,2026-09-05,01,03R,daily,0.7236,0.004116,0.002971,0.000797,0.000342,0.000298,0.001296,0.034243,0.063685,0.160291,0.024451,0.007178,0.046520,0.089174,0.080842,0.011800,0.044036,0.021456,0.037509,0.006579,0.005799,0.014733,0.006880,0.011387,0.019048,0.012356,0.004234,0.001160,0.001275,0.001560,0.001886,0.276431,0.005664
202609050103,2026-09-05,01,03R,realtime,0.7346,0.002235,0.000958,0.000698,0.000417,0.000416,0.001204,0.063427,0.050632,0.086642,0.021476,0.004896,0.054971,0.060234,0.098894,0.009862,0.090367,0.031207,0.047039,0.006753,0.005509,0.022422,0.010489,0.014276,0.013062,0.023515,0.003042,0.000732,0.001114,0.001581,0.002510,0.265412,0.004009
202609050104,2026-09-05,01,04R,daily,0.7561,0.009506,0.003474,0.001700,0.000395,0.000395,0.001566,0.073951,0.078839,0.064839,0.046641,0.007073,0.066145,0.026147,0.086117,0.041211,0.072407,0.028824,0.023941,0.012491,0.009173,0.020789,0.009144,0.014752,0.013611,0.013973,0.010965,0.001586,0.002418,0.001616,0.002776,0.243915,0.009619
202609050104,2026-09-05,01,04R,realtime,0.6504,0.003051,0.001354,0.001342,0.000493,0.000349,0.001233,0.044938,0.077955,0.033937,0.036919,0.011711,0.091478,0.020712,0.068619,0.051809,0.056131,0.024209,0.011554,0.007601,0.007027,0.022962,0.007881,0.015836,0.010939,0.013303,0.014548,0.002098,0.002098,0.001410,0.002214,0.349566,0.004723
202609050105,2026-09-05,01,05R,daily,0.4449,0.004110,0.001294,0.000547,0.000177,0.000180,0.000585,0.033852,0.051336,0.051298,0.010768,0.001787,0.060966,0.018347,0.023278,0.002879,0.085033,0.018408,0.010545,0.002547,0.000894,0.023217,0.008758,0.013783,0.004552,0.003009,0.000898,0.002295,0.000913,0.001409,0.001263,0.555122,0.005949
202609050106,2026-09-05,01,06R,daily,0.2579,0.002960,0.001213,0.000325,0.000143,0.000132,0.000659,0.011657,0.019384,0.039502,0.014478,0.005091,0.022004,0.016815,0.021566,0.011300,0.024266,0.003433,0.004501,0.002630,0.002010,0.029203,0.003906,0.005084,0.003806,0.004825,0.001388,0.000784,0.000894,0.001443,0.000872,0.742080,0.001645
