レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202609140201,2026-09-14,02,1R,daily,2-1-4,2-1-3,2-1-5,2-3-4,2-4-1,差し,差し,差し,まくり,差し
202609140201,2026-09-14,02,1R,realtime,2-1-4,2-1-3,4-1-2,2-4-1,2-1-5,差し,差し,まくり,差し,差し
202609140202,2026-09-14,02,2R,daily,2-1-4,2-1-3,2-1-5,2-4-1,4-1-2,差し,差し,差し,差し,まくり
202609140202,2026-09-14,02,2R,realtime,2-1-4,2-1-3,4-1-2,2-1-5,2-4-1,差し,差し,まくり,差し,差し
202609140203,2026-09-14,02,3R,daily,3-1-2,2-1-3,3-1-4,3-1-5,5-1-2,まくり差し,差し,まくり差し,まくり差し,まくり差し
202609140203,2026-09-14,02,3R,realtime,3-1-4,5-1-4,3-1-5,5-1-2,5-1-3,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202609140204,2026-09-14,02,4R,daily,3-1-5,3-1-4,3-1-2,3-5-1,3-2-5,まくり差し,まくり差し,まくり差し,まくり,まくり
202609140204,2026-09-14,02,4R,realtime,3-1-5,3-1-4,3-1-2,2-1-3,3-4-1,まくり差し,まくり差し,まくり差し,差し,まくり
202609140205,2026-09-14,02,5R,daily,4-1-3,4-1-2,3-1-4,4-1-5,3-1-2,差し,まくり,まくり差し,まくり差し,まくり差し
202609140205,2026-09-14,02,5R,realtime,4-1-3,4-1-5,3-1-4,4-1-2,4-5-1,差し,まくり差し,まくり差し,まくり,まくり
202609140206,2026-09-14,02,6R,daily,3-1-4,3-1-2,3-1-5,3-4-1,3-2-1,まくり差し,まくり差し,まくり差し,まくり,まくり
202609140206,2026-09-14,02,6R,realtime,3-1-4,3-4-1,3-1-5,3-4-5,4-3-1,まくり差し,まくり,まくり差し,まくり,まくり
202609140207,2026-09-14,02,7R,daily,2-1-3,2-1-4,2-3-1,3-1-2,4-1-2,差し,差し,差し,まくり差し,まくり
202609140207,2026-09-14,02,7R,realtime,2-1-4,2-1-3,4-1-6,4-1-2,3-1-4,差し,差し,まくり差し,まくり,まくり差し
202609140208,2026-09-14,02,8R,daily,2-1-3,2-3-1,2-1-5,2-1-4,2-3-4,差し,差し,差し,差し,まくり
202609140208,2026-09-14,02,8R,realtime,2-1-3,2-1-4,2-1-5,2-3-4,2-3-1,差し,差し,差し,まくり,差し
202609140209,2026-09-14,02,9R,daily,2-1-4,2-1-3,2-4-1,4-1-2,2-3-4,差し,差し,差し,まくり,まくり
202609140209,2026-09-14,02,9R,realtime,4-1-5,2-1-4,4-1-3,4-1-2,2-1-3,まくり差し,差し,差し,まくり,差し
202609140210,2026-09-14,02,10R,daily,2-1-3,3-1-2,2-1-5,2-1-4,5-1-2,差し,まくり差し,差し,差し,まくり差し
202609140211,2026-09-14,02,11R,daily,2-1-4,4-1-2,2-1-3,4-1-3,4-2-1,差し,まくり,差し,差し,まくり
202609140212,2026-09-14,02,12R,daily,2-1-4,2-1-3,4-1-2,2-1-5,3-1-2,差し,差し,まくり,差し,まくり差し
202609140401,2026-09-14,04,1R,daily,3-1-2,3-1-4,2-1-3,3-1-5,3-2-1,まくり差し,まくり差し,差し,まくり差し,まくり
202609140401,2026-09-14,04,1R,realtime,3-1-2,2-1-3,3-1-4,3-1-5,2-1-4,まくり差し,差し,まくり差し,まくり差し,差し
202609140402,2026-09-14,04,2R,daily,3-1-4,3-1-2,3-1-5,3-4-1,3-2-1,まくり差し,まくり差し,まくり差し,まくり,まくり
202609140402,2026-09-14,04,2R,realtime,3-1-4,3-1-2,3-4-1,3-1-5,3-2-1,まくり差し,まくり差し,まくり,まくり差し,まくり
202609140403,2026-09-14,04,3R,daily,2-1-3,3-1-2,3-1-4,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し
