記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-09-08,A1,G2_G3_一般,1,44.3198,12.9675,2852
2026-09-08,A1,G2_G3_一般,2,33.5627,16.1442,2122
2026-09-08,A1,G2_G3_一般,3,32.0639,17.2692,1972
2026-09-08,A1,G2_G3_一般,4,30.7994,16.1695,1989
2026-09-08,A1,G2_G3_一般,5,27.4637,16.981,1861
2026-09-08,A1,G2_G3_一般,6,21.4847,16.4975,1475
2026-09-08,A1,SG_G1,1,85.3488,26.0157,258
2026-09-08,A1,SG_G1,2,51.1554,36.1033,251
2026-09-08,A1,SG_G1,3,49.2126,34.3925,254
2026-09-08,A1,SG_G1,4,44.8819,31.2689,254
2026-09-08,A1,SG_G1,5,42.2745,29.7889,255
2026-09-08,A1,SG_G1,6,29.0076,27.3193,262
2026-09-08,A2,G2_G3_一般,1,61.6133,20.9161,2436
2026-09-08,A2,G2_G3_一般,2,45.1544,24.1333,2234
2026-09-08,A2,G2_G3_一般,3,44.3454,24.3263,2284
2026-09-08,A2,G2_G3_一般,4,39.6662,24.0346,2082
2026-09-08,A2,G2_G3_一般,5,34.4715,22.6078,2091
2026-09-08,A2,G2_G3_一般,6,26.6828,21.6998,1863
2026-09-08,A2,SG_G1,1,99.1071,29.4913,28
2026-09-08,A2,SG_G1,2,53.5714,53.5,35
2026-09-08,A2,SG_G1,3,50.0,51.2348,30
2026-09-08,A2,SG_G1,4,43.1034,54.4948,29
2026-09-08,A2,SG_G1,5,48.2759,40.4346,29
2026-09-08,A2,SG_G1,6,41.4062,31.6286,32
2026-09-08,B1,全,1,69.0991,33.6437,3785
2026-09-08,B1,全,2,47.1493,32.67,4669
2026-09-08,B1,全,3,44.8775,32.9556,4695
2026-09-08,B1,全,4,40.1465,32.4732,4779
2026-09-08,B1,全,5,35.5203,30.3575,4795
2026-09-08,B1,全,6,25.4328,26.0695,4182
2026-09-08,B2,全,1,81.3008,45.094,246
2026-09-08,B2,全,2,46.6777,44.4766,301
2026-09-08,B2,全,3,44.8864,41.8261,352
2026-09-08,B2,全,4,33.2988,37.0545,482
2026-09-08,B2,全,5,29.6769,36.5297,588
2026-09-08,B2,全,6,13.1446,26.6602,1784
2026-09-08,A1,G2_G3_一般,0,32.9973,17.3855,12271
2026-09-08,A1,SG_G1,0,50.2868,35.4931,1534
2026-09-08,A2,G2_G3_一般,0,42.8503,25.4241,12990
2026-09-08,A2,SG_G1,0,55.3279,48.7791,183
2026-09-08,B1,全,0,43.1489,33.911,26905
2026-09-08,B2,全,0,28.4572,39.1022,3753
