記録日,場コード,モーター番号,節数,走数,Σw,Σw2,n_eff,加重平均残差,素点
2026-09-10,01,11,6,43,29.841238,21.66721,41.098944,0.105783,0.085081
2026-09-10,01,12,6,44,30.221657,22.20491,41.132729,0.017216,0.013849
2026-09-10,01,13,6,44,30.760279,22.667303,41.742714,-0.013737,-0.011082
2026-09-10,01,17,6,44,30.709321,22.405851,42.090005,0.067856,0.054829
2026-09-10,01,21,6,43,28.140034,20.153699,39.291127,-0.137746,-0.109801
2026-09-10,01,22,6,38,22.380767,14.705229,34.062627,-0.194523,-0.150376
2026-09-10,01,24,6,39,27.560415,20.392179,37.248421,-0.101797,-0.080252
2026-09-10,01,25,6,43,29.899356,21.883404,40.851575,-0.129444,-0.103988
2026-09-10,01,26,6,45,29.326906,20.397779,42.164759,-0.04111,-0.03323
2026-09-10,01,27,6,43,29.31999,21.455307,40.06756,0.148175,0.11858
2026-09-10,01,29,6,42,26.111249,18.309907,37.236526,-0.185624,-0.146327
2026-09-10,01,31,6,42,28.181925,20.226089,39.267152,-0.035691,-0.028446
2026-09-10,01,32,6,44,29.214708,20.746573,41.139283,0.2518,0.202562
2026-09-10,01,34,6,45,29.917919,21.260678,42.100344,-0.173608,-0.140286
2026-09-10,01,36,6,42,29.640465,21.856332,40.196917,-0.22216,-0.177902
2026-09-10,01,37,6,44,31.166958,23.09513,42.059918,0.228184,0.184353
2026-09-10,01,38,6,47,31.499338,22.45641,44.183744,-0.391872,-0.319549
2026-09-10,01,40,6,43,30.277399,22.275403,41.153953,-0.286656,-0.230618
2026-09-10,01,41,6,41,29.317021,21.941284,39.172169,-0.056974,-0.045388
2026-09-10,01,42,6,43,27.534058,18.862529,40.192084,-0.046713,-0.037406
2026-09-10,01,43,5,35,23.282409,16.835115,32.198802,-0.180846,-0.13799
2026-09-10,01,44,6,44,30.23342,21.95783,41.627961,-0.260064,-0.209691
2026-09-10,01,47,6,42,28.867544,20.933301,39.809064,0.157363,0.125769
2026-09-10,01,48,6,42,28.31288,20.370495,39.351974,0.113571,0.090558
2026-09-10,01,49,6,44,30.68868,22.368982,42.102724,-0.128113,-0.103524
2026-09-10,01,50,6,44,30.899686,22.648437,42.15702,0.146327,0.118272
2026-09-10,01,51,6,43,30.046214,22.195095,40.674527,0.241993,0.194239
2026-09-10,01,52,6,43,30.009241,22.159357,40.639922,0.189646,0.152196
2026-09-10,01,53,6,44,30.944351,22.685326,42.210231,-0.195786,-0.158286
2026-09-10,01,57,6,41,28.923306,21.339212,39.202837,-0.214778,-0.171127
2026-09-10,01,60,6,46,30.505303,21.875935,42.538686,0.062573,0.050663
2026-09-10,01,62,6,44,30.851042,22.589349,42.134317,0.210713,0.170296
2026-09-10,01,63,6,43,25.100154,15.911079,39.596165,0.00689,0.005501
2026-09-10,01,64,6,42,29.812194,22.119074,40.181017,-0.119167,-0.09542
2026-09-10,01,65,6,45,30.11673,21.551411,42.086219,0.029654,0.023961
2026-09-10,01,67,6,44,30.710196,22.391883,42.118662,0.210975,0.170495
2026-09-10,01,68,5,28,17.069146,11.664729,24.977496,0.017086,0.012201
2026-09-10,01,69,6,44,29.475125,21.174281,41.030106,-0.264034,-0.212293
2026-09-10,01,70,6,43,30.920774,23.22702,41.163019,-0.346728,-0.278958
2026-09-10,01,71,6,44,29.241773,20.830287,41.049904,0.192787,0.155023
2026-09-10,01,72,6,41,26.805311,18.914943,37.987145,-0.174949,-0.138492
2026-09-10,01,73,6,42,27.944983,20.073397,38.903333,0.17701,0.140814
2026-09-10,01,74,6,45,30.49966,21.929952,42.418206,0.420362,0.340168
2026-09-10,01,75,6,41,29.051125,21.512211,39.232039,0.142202,0.113318
2026-09-10,03,10,6,36,24.133993,17.569444,33.151283,0.051623,0.03966
2026-09-10,03,11,6,37,24.874541,18.117856,34.150994,-0.27457,-0.212381
2026-09-10,03,12,6,38,25.482863,18.528344,35.047726,0.108308,0.084265
2026-09-10,03,13,6,38,25.482863,18.528344,35.047726,0.421091,0.327615
2026-09-10,03,14,6,38,25.995697,19.04388,35.485219,-0.200912,-0.156741
2026-09-10,03,15,6,37,24.874541,18.117856,34.150994,-0.444261,-0.343638
2026-09-10,03,16,6,37,25.396208,18.686194,34.515716,-0.063871,-0.049523
2026-09-10,03,17,6,38,25.700894,18.804681,35.126145,0.119285,0.092851
2026-09-10,03,18,6,37,22.096856,14.787746,33.018627,-0.005279,-0.004052
2026-09-10,03,20,6,35,21.356925,14.25812,31.990068,0.391266,0.298085
2026-09-10,03,22,6,38,24.108706,16.495132,35.23644,0.003685,0.00287
2026-09-10,03,23,6,40,26.907099,19.537584,37.056372,-0.256649,-0.202109
2026-09-10,03,24,6,38,24.160793,16.995838,34.346287,0.150021,0.116191
2026-09-10,03,27,6,37,21.770429,14.293293,33.15902,-0.12616,-0.096929
2026-09-10,03,28,6,39,23.618227,15.615177,35.722978,0.104144,0.081367
2026-09-10,03,29,5,37,23.877091,16.782071,33.971701,-0.460012,-0.355397
2026-09-10,03,30,6,44,26.185773,17.482422,39.221951,0.299248,0.238452
2026-09-10,03,32,6,40,26.860371,19.458826,37.077237,0.274532,0.216217
2026-09-10,03,33,6,40,26.860371,19.458826,37.077237,0.164235,0.129349
2026-09-10,03,34,5,30,21.956875,17.043321,28.286996,0.320602,0.236865
2026-09-10,03,35,6,40,27.456422,20.107461,37.491314,-0.052229,-0.041232
2026-09-10,03,37,6,38,23.990319,16.345484,35.210667,0.234595,0.182705
2026-09-10,03,38,6,39,23.435379,15.699255,34.983635,0.223887,0.174117
2026-09-10,03,40,6,39,26.198814,19.092495,35.95014,-0.2937,-0.229783
2026-09-10,03,43,6,39,23.620613,15.640625,35.672062,0.133553,0.104311
2026-09-10,03,45,5,37,23.856249,16.755656,33.96588,-0.160129,-0.123707
2026-09-10,03,47,5,32,20.517402,14.483546,29.064965,-0.506025,-0.376491
2026-09-10,03,48,6,38,23.237841,15.642083,34.522079,-0.248777,-0.1929
2026-09-10,03,49,5,37,23.856249,16.755656,33.96588,0.058427,0.045137
2026-09-10,03,50,6,41,24.440175,16.21966,36.827044,-0.18058,-0.142017
2026-09-10,03,51,6,39,25.674053,18.561991,35.511115,-0.039224,-0.030606
2026-09-10,03,52,6,46,27.338996,18.149057,41.182342,0.101768,0.081884
2026-09-10,03,56,5,38,25.064295,18.039651,34.824337,0.298454,0.231871
2026-09-10,03,58,6,38,24.003033,16.51292,34.890594,0.098275,0.076383
2026-09-10,03,59,6,47,28.573079,19.457098,41.960053,0.09177,0.074108
2026-09-10,03,60,5,30,19.170568,13.575509,27.071596,-0.281601,-0.205639
2026-09-10,03,61,6,38,26.418544,19.699152,35.429922,-0.064752,-0.050498
2026-09-10,03,62,6,41,23.681238,15.561234,36.038341,0.495914,0.388197
2026-09-10,03,63,5,38,24.29208,16.964828,34.784034,0.038807,0.030141
2026-09-10,03,64,5,33,20.764655,14.776528,29.179445,0.180357,0.134324
2026-09-10,03,65,6,38,23.609871,15.916934,35.020941,0.084869,0.066018
2026-09-10,03,66,6,35,22.877933,16.268925,32.171752,-0.481888,-0.36762
2026-09-10,03,67,6,37,23.48364,16.822512,32.782342,0.425383,0.325953
2026-09-10,03,68,6,37,23.009457,15.557537,34.030781,0.160729,0.124225
2026-09-10,03,69,5,38,24.000873,16.581899,34.7392,0.184393,0.143178
2026-09-10,03,71,6,36,25.393799,18.818838,34.265932,0.338108,0.261727
2026-09-10,04,13,6,42,30.206992,23.002435,39.668079,-0.114071,-0.091104
2026-09-10,04,15,6,41,27.412175,19.439312,38.655036,0.34636,0.275173
2026-09-10,04,16,6,43,32.779759,25.656174,41.88125,0.247813,0.200048
2026-09-10,04,17,6,43,29.134268,21.085341,40.255718,-0.069228,-0.055453
2026-09-10,04,18,6,44,28.945026,20.15242,41.573893,-0.054359,-0.043819
2026-09-10,04,20,6,37,26.606279,20.189823,35.061925,0.106433,0.082814
2026-09-10,04,21,6,46,30.022223,20.732885,43.473634,0.229146,0.186294
2026-09-10,04,22,6,38,28.485216,22.207925,36.536844,-0.34988,-0.274696
2026-09-10,04,23,6,47,30.434722,20.913186,44.291306,0.119489,0.09748
2026-09-10,04,26,6,41,29.014075,21.703465,38.787197,0.022265,0.017702
2026-09-10,04,27,6,39,26.251969,18.472064,37.308548,-0.070223,-0.055379
2026-09-10,04,28,3,18,11.443645,8.231355,15.909532,0.139201,0.085475
2026-09-10,04,29,6,45,29.087202,19.819182,42.689215,0.186453,0.151066
2026-09-10,04,31,6,40,26.487707,18.652877,37.613426,-0.207958,-0.164282
2026-09-10,04,32,6,38,28.694952,22.488225,36.61473,-0.213573,-0.167756
2026-09-10,04,33,6,40,27.905339,20.221881,38.508185,0.018085,0.014356
2026-09-10,04,34,6,42,30.698497,23.647212,39.85238,0.004592,0.003671
2026-09-10,04,35,6,38,28.207469,21.785815,36.521989,-0.054057,-0.042437
2026-09-10,04,37,6,44,31.758093,23.787702,42.39907,0.314238,0.254268
2026-09-10,04,39,6,35,26.431202,20.842728,33.518089,-0.484525,-0.373187
2026-09-10,04,40,6,45,28.717889,19.422866,42.461147,0.144182,0.116698
2026-09-10,04,43,6,45,29.020347,19.777959,42.581771,-0.0333,-0.026967
2026-09-10,04,44,6,34,25.341659,19.811957,32.414753,-0.111559,-0.085257
2026-09-10,04,45,6,38,27.601097,21.267833,35.820318,-0.187597,-0.146655
2026-09-10,04,47,6,40,28.600397,21.326493,38.355238,-0.074607,-0.059178
2026-09-10,04,48,6,39,28.672977,21.883155,37.569519,0.310991,0.245615
2026-09-10,04,49,6,36,26.741415,20.736183,34.485771,-0.19199,-0.148832
2026-09-10,04,52,6,39,27.990204,20.922842,37.444794,-0.043494,-0.034327
2026-09-10,04,53,6,37,26.586547,20.566007,34.369554,0.104739,0.081133
2026-09-10,04,54,6,37,25.338092,18.649051,34.426357,-0.253399,-0.196361
2026-09-10,04,55,6,38,25.393151,18.171636,35.484539,-0.258317,-0.201524
2026-09-10,04,56,6,40,28.590828,21.607199,37.831625,-0.087305,-0.069052
2026-09-10,04,57,6,35,26.290524,20.615953,33.527028,-0.02654,-0.020443
2026-09-10,04,59,6,38,28.2915,22.071431,36.26448,-0.22054,-0.17287
