レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609130201,2026-09-13,02,01R,3589,0.1572,0.1138,0.2007,3814,0.1972,0.153,0.2414,4866,0.1638,0.1233,0.2043,3834,0.1644,0.115,0.2138,5259,0.1611,0.1112,0.2111,4692,0.1608,0.1184,0.2033
202609130202,2026-09-13,02,02R,5313,0.1638,0.1196,0.2079,3161,0.1645,0.1168,0.2122,4325,0.1471,0.1108,0.1834,4706,0.1892,0.1492,0.2292,4615,0.1759,0.1332,0.2187,4762,0.1354,0.0984,0.1724
202609130203,2026-09-13,02,03R,4631,0.1625,0.1194,0.2057,5220,0.1097,0.0704,0.1491,4674,0.1308,0.0978,0.1639,4467,0.1367,0.1031,0.1703,4887,0.1505,0.1148,0.1861,5455,0.1973,0.1281,0.2666
202609130204,2026-09-13,02,04R,4555,0.1643,0.1242,0.2043,3072,0.1616,0.1208,0.2024,4295,0.1172,0.0776,0.1567,5038,0.1362,0.0948,0.1775,4886,0.134,0.0884,0.1797,4572,0.1561,0.1159,0.1964
202609130205,2026-09-13,02,05R,4578,0.1566,0.113,0.2002,5008,0.1258,0.09,0.1616,4708,0.1958,0.1535,0.2382,4370,0.1416,0.0984,0.1848,3075,0.122,0.0794,0.1646,3814,0.2106,0.1664,0.2548
202609130206,2026-09-13,02,06R,4649,0.1163,0.0798,0.1527,4866,0.1698,0.1293,0.2103,4351,0.1253,0.0888,0.1618,4539,0.1254,0.0943,0.1565,3161,0.1644,0.1167,0.2121,4163,0.1708,0.1319,0.2097
202609130207,2026-09-13,02,07R,5126,0.1308,0.0939,0.1677,4615,0.176,0.1333,0.2188,3692,0.1321,0.0919,0.1723,5259,0.1582,0.1083,0.2082,4674,0.1367,0.1037,0.1698,4973,0.1971,0.1571,0.2372
202609130208,2026-09-13,02,08R,4883,0.1361,0.0965,0.1757,4572,0.1427,0.1025,0.183,3589,0.1587,0.1153,0.2022,4325,0.1501,0.1138,0.1864,3711,0.1689,0.1321,0.2057,4467,0.1531,0.1195,0.1867
202609130209,2026-09-13,02,09R,4451,0.1356,0.0939,0.1772,4886,0.1341,0.0885,0.1798,4762,0.116,0.079,0.153,4708,0.1988,0.1565,0.2412,4692,0.1473,0.1049,0.1898,5220,0.1231,0.0838,0.1625
202609130210,2026-09-13,02,10R,4706,0.1847,0.1447,0.2247,4363,0.1394,0.1058,0.1731,4163,0.1514,0.1125,0.1903,4846,0.1723,0.1311,0.2136,4295,0.1231,0.0835,0.1626,5008,0.1392,0.1034,0.175
