登録番号,重み付き和,重み付き二乗和,重み計,基準日
2538,5.5133806149,1.358227925,25.2125383767,2026-09-12
2878,4.4989413269,0.8346881323,27.4032740789,2026-09-12
3024,0.1915036596,0.0367122628,1.1689103695,2026-09-12
3054,3.1684842014,0.6477696067,17.3166673809,2026-09-12
3070,0.3848131842,0.083170694,2.0432541282,2026-09-12
3072,4.3202355719,0.8111637554,26.486178846,2026-09-12
3075,2.4297957416,0.3885253712,19.7220765849,2026-09-12
3081,0.2119027601,0.0381884955,1.4046645509,2026-09-12
3105,3.4027293178,0.5614474168,23.6100265513,2026-09-12
3107,2.9199459106,0.6116117852,16.0036718233,2026-09-12
3156,3.1625735676,0.6156390899,18.7803406482,2026-09-12
3158,4.3495759839,0.6843013896,32.7614160641,2026-09-12
3159,0.2650835725,0.0517279996,1.5976901293,2026-09-12
3161,3.3190203621,0.6542683029,21.087991135,2026-09-12
3175,4.0164462221,0.7038420951,26.4498010508,2026-09-12
3176,0.0549002435,0.0129826345,0.2718057932,2026-09-12
3202,5.0670421727,1.1226695193,25.6681613212,2026-09-12
3207,1.1048600447,0.2350717685,6.3557775536,2026-09-12
3211,4.5588780788,0.8717943988,27.7711185092,2026-09-12
3212,3.014602607,0.5601448302,19.2801608336,2026-09-12
3224,4.0441887441,0.8024205095,22.25846133,2026-09-12
3226,4.1254556505,0.8159897464,24.9111504599,2026-09-12
3232,3.0798326918,0.5309485841,19.5406014948,2026-09-12
3233,3.5142316237,0.7411567949,20.3897198194,2026-09-12
3246,0.1074903769,0.0204765308,0.7075271089,2026-09-12
3251,6.2556556478,1.2862410423,33.2941418352,2026-09-12
3256,4.83321812,0.7967603394,34.8236986115,2026-09-12
3257,3.7209094088,0.7131290592,25.8522195675,2026-09-12
3265,3.7003158353,0.5980310807,27.4796060801,2026-09-12
3268,4.6697189775,0.8480831314,29.4683340608,2026-09-12
3277,4.2084477076,0.7581929423,26.9621694203,2026-09-12
3282,5.1619504742,1.164474849,26.0731518604,2026-09-12
3284,5.9650098907,1.5414554726,26.058559615,2026-09-12
3286,2.6252483566,0.4897269855,16.2342857533,2026-09-12
3289,0.8713015308,0.2024410331,4.2440886235,2026-09-12
3293,4.0749098334,0.8718999647,22.3314377551,2026-09-12
3294,3.2946864396,0.5970264207,20.670830227,2026-09-12
3297,4.8069271093,1.1065405791,23.2456034195,2026-09-12
3300,3.5246996427,0.5970664196,24.1372790913,2026-09-12
3302,3.6862417743,0.7447222196,21.5203440119,2026-09-12
3303,6.4634059101,1.4963484445,32.3200356834,2026-09-12
3304,5.1361436356,0.9090645105,31.8877486734,2026-09-12
3305,4.2565297636,0.77935862,27.3204015204,2026-09-12
3306,3.8591245943,0.7173750051,25.1931962693,2026-09-12
3313,3.9160734972,0.7411390113,24.375480151,2026-09-12
3315,3.560067036,0.6954537194,23.7348680042,2026-09-12
3319,5.9136422815,1.0443084008,36.6699464057,2026-09-12
3327,4.5681587641,0.9537492385,26.1475613666,2026-09-12
3333,5.011527275,0.8940304876,34.0911234376,2026-09-12
3334,4.9204386611,1.0405470136,26.0968324969,2026-09-12
3339,2.788554354,0.4675394527,19.6467924961,2026-09-12
3340,4.6599009257,0.8961219902,27.0058076196,2026-09-12
3346,0.0134291745,0.0028312371,0.0794401069,2026-09-12
3349,4.1109307398,0.7724006733,26.3590256869,2026-09-12
3350,2.6134038291,0.4597815238,16.4895386437,2026-09-12
3352,4.3490750585,0.8279157884,27.5992424132,2026-09-12
3353,1.8952395583,0.3769620465,12.4443416194,2026-09-12
3355,1.4091408637,0.4113126774,5.161453952,2026-09-12
3357,5.1884447105,1.233237354,25.0874930511,2026-09-12
3361,3.1023238416,0.5447784201,20.2656028484,2026-09-12
3362,4.5325939484,0.8754287485,26.3832500615,2026-09-12
3370,3.0039214283,0.6705806548,15.1781450325,2026-09-12
3372,2.5446075308,0.5532050482,12.6499652488,2026-09-12
3377,4.9330996973,1.3204752849,22.2074301903,2026-09-12
3381,3.3084552322,0.5231560732,25.9387341355,2026-09-12
3385,3.4862400451,0.6185988154,22.8062727311,2026-09-12
3388,3.0007608156,0.5569711272,18.4386001484,2026-09-12
3391,3.0475061157,0.6680832194,15.7394085337,2026-09-12
3392,5.0125313757,1.0317368685,27.8449834077,2026-09-12
3401,5.564003823,1.1974099701,29.1762451974,2026-09-12
3406,4.3190403498,0.7766940669,29.0199290032,2026-09-12
3411,2.1547603856,0.454340479,11.807058937,2026-09-12
3412,4.7858786797,0.8292422987,30.7252016475,2026-09-12
3414,0.0001275221,1.91282e-05,0.0008501471,2026-09-12
3415,4.6273848693,0.764790381,32.4555149263,2026-09-12
3419,1.6117689291,0.420051531,7.4558378276,2026-09-12
3422,4.9073485349,0.8941874055,30.6794009006,2026-09-12
3430,4.1056340557,0.7236833467,26.225921904,2026-09-12
3432,3.1379677274,0.6155450854,18.6798144336,2026-09-12
