レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202609090101,2026-09-09,01,1R,daily,68.49,25.96,45.67,8.94,48.88,6.04,50.0,10.9,50.0,4.18,56.02,52.33,19.84,42.06,8.23,56.52,6.98,50.0,10.9,50.0,4.18,50.13,52.57,19.93,43.86,8.59,50.61,6.26,50.0,10.9,50.0,4.18,49.85,47.29,17.93,47.47,9.29,44.63,5.52,50.0,10.9,50.0,4.18,47.81,44.66,16.93,42.06,8.23,43.31,5.35,50.0,10.9,50.0,4.18,45.59,34.48,13.07,33.03,6.47,37.51,4.64,50.0,10.9,50.0,4.18,39.25
202609090102,2026-09-09,01,2R,daily,68.49,25.96,42.06,8.23,54.86,6.78,50.0,10.9,50.0,4.18,56.05,52.33,19.84,45.67,8.94,59.38,7.34,50.0,10.9,50.0,4.18,51.19,52.57,19.93,49.28,9.64,43.3,5.35,50.0,10.9,50.0,4.18,50.0,47.29,17.93,54.69,10.7,48.91,6.05,50.0,10.9,50.0,4.18,49.76,44.66,16.93,45.67,8.94,68.69,8.49,50.0,10.9,50.0,4.18,49.44,34.48,13.07,43.86,8.59,42.85,5.3,50.0,10.9,50.0,4.18,42.03
202609090103,2026-09-09,01,3R,daily,68.49,25.96,43.86,8.59,61.22,7.57,50.0,10.9,50.0,4.18,57.19,52.33,19.84,42.06,8.23,39.42,4.87,50.0,10.9,50.0,4.18,48.02,52.57,19.93,43.86,8.59,46.38,5.73,50.0,10.9,50.0,4.18,49.32,47.29,17.93,60.1,11.76,59.28,7.33,50.0,10.9,50.0,4.18,52.1,44.66,16.93,45.67,8.94,47.6,5.88,50.0,10.9,50.0,4.18,46.83,34.48,13.07,60.1,11.76,47.97,5.93,50.0,10.9,50.0,4.18,45.84
202609090104,2026-09-09,01,4R,daily,68.49,25.96,51.08,10.0,38.01,4.7,50.0,10.9,50.0,4.18,55.74,52.33,19.84,43.86,8.59,45.61,5.64,50.0,10.9,50.0,4.18,49.14,52.57,19.93,47.47,9.29,55.26,6.83,50.0,10.9,50.0,4.18,51.13,47.29,17.93,72.73,14.24,42.93,5.3,50.0,10.9,50.0,4.18,52.55,44.66,16.93,45.67,8.94,38.76,4.79,50.0,10.9,50.0,4.18,45.74,34.48,13.07,61.91,12.12,57.82,7.15,50.0,10.9,50.0,4.18,47.41
202609090105,2026-09-09,01,5R,daily,68.49,25.96,54.69,10.7,33.01,4.08,50.0,10.9,50.0,4.18,55.83,52.33,19.84,43.86,8.59,54.67,6.76,50.0,10.9,50.0,4.18,50.26,52.57,19.93,47.47,9.29,53.06,6.56,50.0,10.9,50.0,4.18,50.86,47.29,17.93,49.28,9.64,38.56,4.77,50.0,10.9,50.0,4.18,47.42,44.66,16.93,42.06,8.23,52.06,6.43,50.0,10.9,50.0,4.18,46.68,34.48,13.07,60.1,11.76,59.04,7.3,50.0,10.9,50.0,4.18,47.21
202609090106,2026-09-09,01,6R,daily,68.49,25.96,63.71,12.47,47.78,5.9,50.0,10.9,50.0,4.18,59.42,52.33,19.84,40.25,7.88,39.79,4.92,50.0,10.9,50.0,4.18,47.71,52.57,19.93,43.86,8.59,56.95,7.04,50.0,10.9,50.0,4.18,50.63,47.29,17.93,43.86,8.59,39.75,4.91,50.0,10.9,50.0,4.18,46.51,44.66,16.93,45.67,8.94,53.52,6.61,50.0,10.9,50.0,4.18,47.56,34.48,13.07,42.06,8.23,55.8,6.9,50.0,10.9,50.0,4.18,43.28
202609090107,2026-09-09,01,7R,daily,68.49,25.96,45.67,8.94,49.19,6.08,50.0,10.9,50.0,4.18,56.06,52.33,19.84,43.86,8.59,40.55,5.01,50.0,10.9,50.0,4.18,48.51,52.57,19.93,49.28,9.64,55.91,6.91,50.0,10.9,50.0,4.18,51.56,47.29,17.93,42.06,8.23,43.31,5.35,50.0,10.9,50.0,4.18,46.59,44.66,16.93,42.06,8.23,39.42,4.87,50.0,10.9,50.0,4.18,45.11,34.48,13.07,43.86,8.59,51.08,6.31,50.0,10.9,50.0,4.18,43.05
202609090108,2026-09-09,01,8R,daily,68.49,25.96,49.28,9.64,31.25,3.86,50.0,10.9,50.0,4.18,54.55,52.33,19.84,45.67,8.94,38.76,4.79,50.0,10.9,50.0,4.18,48.65,52.57,19.93,45.67,8.94,38.68,4.78,50.0,10.9,50.0,4.18,48.73,47.29,17.93,40.25,7.88,43.53,5.38,50.0,10.9,50.0,4.18,46.27,44.66,16.93,47.47,9.29,44.63,5.52,50.0,10.9,50.0,4.18,46.82,34.48,13.07,49.28,9.64,58.54,7.23,50.0,10.9,50.0,4.18,45.03
202609090109,2026-09-09,01,9R,daily,68.49,25.96,60.1,11.76,47.97,5.93,50.0,10.9,50.0,4.18,58.73,52.33,19.84,60.1,11.76,59.28,7.33,50.0,10.9,50.0,4.18,54.01,52.57,19.93,72.73,14.24,42.93,5.3,50.0,10.9,50.0,4.18,54.55,47.29,17.93,47.47,9.29,53.06,6.56,50.0,10.9,50.0,4.18,48.86,44.66,16.93,45.67,8.94,59.38,7.34,50.0,10.9,50.0,4.18,48.29,34.48,13.07,42.06,8.23,54.86,6.78,50.0,10.9,50.0,4.18,43.16
202609090110,2026-09-09,01,10R,daily,68.49,25.96,60.1,11.76,59.04,7.3,50.0,10.9,50.0,4.18,60.1,52.33,19.84,43.86,8.59,46.38,5.73,50.0,10.9,50.0,4.18,49.23,52.57,19.93,63.71,12.47,47.78,5.9,50.0,10.9,50.0,4.18,53.38,47.29,17.93,49.28,9.64,43.3,5.35,50.0,10.9,50.0,4.18,48.0,44.66,16.93,54.69,10.7,33.01,4.08,50.0,10.9,50.0,4.18,46.79,34.48,13.07,51.08,10.0,38.01,4.7,50.0,10.9,50.0,4.18,42.85
202609090111,2026-09-09,01,11R,daily,68.49,25.96,61.91,12.12,57.82,7.15,50.0,10.9,50.0,4.18,60.3,52.33,19.84,45.67,8.94,49.19,6.08,50.0,10.9,50.0,4.18,49.93,52.57,19.93,49.28,9.64,38.56,4.77,50.0,10.9,50.0,4.18,49.42,47.29,17.93,47.47,9.29,55.26,6.83,50.0,10.9,50.0,4.18,49.13,44.66,16.93,54.69,10.7,48.91,6.05,50.0,10.9,50.0,4.18,48.76,34.48,13.07,43.86,8.59,61.22,7.57,50.0,10.9,50.0,4.18,44.3
202609090112,2026-09-09,01,12R,daily,68.49,25.96,45.67,8.94,47.6,5.88,50.0,10.9,50.0,4.18,55.86,52.33,19.84,45.67,8.94,68.69,8.49,50.0,10.9,50.0,4.18,52.34,52.57,19.93,43.86,8.59,45.61,5.64,50.0,10.9,50.0,4.18,49.23,47.29,17.93,49.28,9.64,31.25,3.86,50.0,10.9,50.0,4.18,46.51,44.66,16.93,43.86,8.59,54.67,6.76,50.0,10.9,50.0,4.18,47.35,34.48,13.07,49.28,9.64,55.91,6.91,50.0,10.9,50.0,4.18,44.71
202609090301,2026-09-09,03,1R,daily,67.26,30.43,52.24,14.23,51.54,5.52,50.0,3.6,50.0,4.8,58.58,54.05,24.46,49.65,13.52,47.24,5.06,50.0,3.6,50.0,4.8,51.44,52.8,23.89,49.65,13.52,42.02,4.5,50.0,3.6,50.0,4.8,50.32,46.35,20.97,41.89,11.41,61.22,6.56,50.0,3.6,50.0,4.8,47.34,42.93,19.42,47.07,12.82,59.51,6.37,50.0,3.6,50.0,4.8,47.02,37.66,17.04,49.65,13.52,51.3,5.49,50.0,3.6,50.0,4.8,44.46
202609090302,2026-09-09,03,2R,daily,67.26,30.43,52.24,14.23,56.96,6.1,50.0,3.6,50.0,4.8,59.17,54.05,24.46,57.42,15.64,36.9,3.95,50.0,3.6,50.0,4.8,52.45,52.8,23.89,39.3,10.71,59.57,6.38,50.0,3.6,50.0,4.8,49.38,46.35,20.97,44.48,12.12,58.04,6.22,50.0,3.6,50.0,4.8,47.71,42.93,19.42,47.07,12.82,39.65,4.25,50.0,3.6,50.0,4.8,44.89,37.66,17.04,39.3,10.71,50.49,5.41,50.0,3.6,50.0,4.8,41.56
202609090303,2026-09-09,03,3R,daily,67.26,30.43,52.24,14.23,53.45,5.73,50.0,3.6,50.0,4.8,58.79,54.05,24.46,44.48,12.12,61.34,6.57,50.0,3.6,50.0,4.8,51.54,52.8,23.89,44.48,12.12,51.13,5.48,50.0,3.6,50.0,4.8,49.88,46.35,20.97,39.3,10.71,46.76,5.01,50.0,3.6,50.0,4.8,45.09,42.93,19.42,57.42,15.64,50.98,5.46,50.0,3.6,50.0,4.8,48.92,37.66,17.04,52.24,14.23,27.68,2.96,50.0,3.6,50.0,4.8,42.64
202609090304,2026-09-09,03,4R,daily,67.26,30.43,62.59,17.05,51.05,5.47,50.0,3.6,50.0,4.8,61.35,54.05,24.46,39.3,10.71,53.09,5.69,50.0,3.6,50.0,4.8,49.25,52.8,23.89,49.65,13.52,45.94,4.92,50.0,3.6,50.0,4.8,50.74,46.35,20.97,49.65,13.52,61.06,6.54,50.0,3.6,50.0,4.8,49.44,42.93,19.42,52.24,14.23,53.65,5.75,50.0,3.6,50.0,4.8,47.8,37.66,17.04,54.83,14.93,61.24,6.56,50.0,3.6,50.0,4.8,46.94
202609090305,2026-09-09,03,5R,daily,67.26,30.43,62.59,17.05,50.19,5.38,50.0,3.6,50.0,4.8,61.26,54.05,24.46,52.24,14.23,55.27,5.92,50.0,3.6,50.0,4.8,53.01,52.8,23.89,47.07,12.82,30.31,3.25,50.0,3.6,50.0,4.8,48.36,46.35,20.97,49.65,13.52,66.83,7.16,50.0,3.6,50.0,4.8,50.06,42.93,19.42,49.65,13.52,29.51,3.16,50.0,3.6,50.0,4.8,44.51,37.66,17.04,41.89,11.41,44.16,4.73,50.0,3.6,50.0,4.8,41.58
202609090306,2026-09-09,03,6R,daily,67.26,30.43,44.48,12.12,69.47,7.44,50.0,3.6,50.0,4.8,58.39,54.05,24.46,47.07,12.82,50.98,5.46,50.0,3.6,50.0,4.8,51.14,52.8,23.89,49.65,13.52,37.61,4.03,50.0,3.6,50.0,4.8,49.84,46.35,20.97,54.83,14.93,58.65,6.28,50.0,3.6,50.0,4.8,50.59,42.93,19.42,49.65,13.52,51.3,5.49,50.0,3.6,50.0,4.8,46.84,37.66,17.04,83.29,22.69,37.66,4.03,50.0,3.6,50.0,4.8,52.16
202609090307,2026-09-09,03,7R,daily,67.26,30.43,39.3,10.71,59.57,6.38,50.0,3.6,50.0,4.8,55.92,54.05,24.46,47.07,12.82,53.62,5.74,50.0,3.6,50.0,4.8,51.42,52.8,23.89,52.24,14.23,41.97,4.5,50.0,3.6,50.0,4.8,51.02,46.35,20.97,49.65,13.52,47.24,5.06,50.0,3.6,50.0,4.8,47.96,42.93,19.42,78.12,21.28,67.5,7.23,50.0,3.6,50.0,4.8,56.33,37.66,17.04,52.24,14.23,65.63,7.03,50.0,3.6,50.0,4.8,46.7
202609090308,2026-09-09,03,8R,daily,67.26,30.43,44.48,12.12,56.22,6.02,50.0,3.6,50.0,4.8,56.97,54.05,24.46,49.65,13.52,61.06,6.54,50.0,3.6,50.0,4.8,52.92,52.8,23.89,52.24,14.23,59.15,6.34,50.0,3.6,50.0,4.8,52.86,46.35,20.97,49.65,13.52,39.02,4.18,50.0,3.6,50.0,4.8,47.08,42.93,19.42,52.24,14.23,27.68,2.96,50.0,3.6,50.0,4.8,45.02,37.66,17.04,31.54,8.59,58.75,6.29,50.0,3.6,50.0,4.8,40.33
202609090309,2026-09-09,03,9R,daily,67.26,30.43,44.48,12.12,51.13,5.48,50.0,3.6,50.0,4.8,56.43,54.05,24.46,44.48,12.12,58.04,6.22,50.0,3.6,50.0,4.8,51.19,52.8,23.89,49.65,13.52,29.51,3.16,50.0,3.6,50.0,4.8,48.98,46.35,20.97,49.65,13.52,31.99,3.43,50.0,3.6,50.0,4.8,46.33,42.93,19.42,49.65,13.52,42.02,4.5,50.0,3.6,50.0,4.8,45.85,37.66,17.04,49.65,13.52,45.94,4.92,50.0,3.6,50.0,4.8,43.89
202609090310,2026-09-09,03,10R,daily,67.26,30.43,52.24,14.23,53.65,5.75,50.0,3.6,50.0,4.8,58.81,54.05,24.46,47.07,12.82,59.51,6.37,50.0,3.6,50.0,4.8,52.05,52.8,23.89,52.24,14.23,51.16,5.48,50.0,3.6,50.0,4.8,52.0,46.35,20.97,44.48,12.12,61.34,6.57,50.0,3.6,50.0,4.8,48.06,42.93,19.42,47.07,12.82,30.31,3.25,50.0,3.6,50.0,4.8,43.89,37.66,17.04,39.3,10.71,35.28,3.78,50.0,3.6,50.0,4.8,39.93
202609090311,2026-09-09,03,11R,daily,67.26,30.43,83.29,22.69,37.66,4.03,50.0,3.6,50.0,4.8,65.56,54.05,24.46,57.42,15.64,50.98,5.46,50.0,3.6,50.0,4.8,53.96,52.8,23.89,49.65,13.52,66.83,7.16,50.0,3.6,50.0,4.8,52.97,46.35,20.97,52.24,14.23,41.97,4.5,50.0,3.6,50.0,4.8,48.1,42.93,19.42,57.42,15.64,36.9,3.95,50.0,3.6,50.0,4.8,47.42,37.66,17.04,62.59,17.05,51.05,5.47,50.0,3.6,50.0,4.8,47.96
202609090312,2026-09-09,03,12R,daily,67.26,30.43,54.83,14.93,61.24,6.56,50.0,3.6,50.0,4.8,60.33,54.05,24.46,78.12,21.28,67.5,7.23,50.0,3.6,50.0,4.8,61.37,52.8,23.89,54.83,14.93,58.65,6.28,50.0,3.6,50.0,4.8,53.51,46.35,20.97,52.24,14.23,59.15,6.34,50.0,3.6,50.0,4.8,49.94,42.93,19.42,52.24,14.23,55.27,5.92,50.0,3.6,50.0,4.8,47.98,37.66,17.04,52.24,14.23,53.45,5.73,50.0,3.6,50.0,4.8,45.4
202609090401,2026-09-09,04,1R,daily,68.6,22.21,37.76,11.84,46.04,5.43,50.0,10.36,50.0,1.87,51.72,53.19,17.22,42.54,13.34,55.71,6.57,50.0,10.36,50.0,1.87,49.37,50.76,16.44,47.32,14.84,45.13,5.32,50.0,10.36,50.0,1.87,48.83,48.3,15.64,40.15,12.59,56.9,6.71,50.0,10.36,50.0,1.87,47.17,42.68,13.82,47.32,14.84,33.96,4.0,50.0,10.36,50.0,1.87,44.9,35.78,11.58,49.71,15.59,53.25,6.28,50.0,10.36,50.0,1.87,45.69
202609090402,2026-09-09,04,2R,daily,68.6,22.21,37.76,11.84,32.49,3.83,50.0,10.36,50.0,1.87,50.12,53.19,17.22,44.93,14.09,46.82,5.52,50.0,10.36,50.0,1.87,49.07,50.76,16.44,37.76,11.84,40.63,4.79,50.0,10.36,50.0,1.87,45.3,48.3,15.64,42.54,13.34,45.04,5.31,50.0,10.36,50.0,1.87,46.52,42.68,13.82,61.65,19.34,57.54,6.78,50.0,10.36,50.0,1.87,52.17,35.78,11.58,40.15,12.59,46.54,5.49,50.0,10.36,50.0,1.87,41.9
202609090403,2026-09-09,04,3R,daily,68.6,22.21,52.09,16.34,43.67,5.15,50.0,10.36,50.0,1.87,55.93,53.19,17.22,44.93,14.09,38.63,4.55,50.0,10.36,50.0,1.87,48.1,50.76,16.44,44.93,14.09,51.48,6.07,50.0,10.36,50.0,1.87,48.83,48.3,15.64,47.32,14.84,41.97,4.95,50.0,10.36,50.0,1.87,47.66,42.68,13.82,54.48,17.09,60.27,7.11,50.0,10.36,50.0,1.87,50.25,35.78,11.58,44.93,14.09,64.53,7.61,50.0,10.36,50.0,1.87,45.52
202609090404,2026-09-09,04,4R,daily,68.6,22.21,35.37,11.09,49.8,5.87,50.0,10.36,50.0,1.87,51.41,53.19,17.22,56.87,17.84,43.55,5.13,50.0,10.36,50.0,1.87,52.43,50.76,16.44,54.48,17.09,45.41,5.35,50.0,10.36,50.0,1.87,51.11,48.3,15.64,44.93,14.09,35.57,4.19,50.0,10.36,50.0,1.87,46.16,42.68,13.82,49.71,15.59,63.04,7.43,50.0,10.36,50.0,1.87,49.07,35.78,11.58,30.59,9.59,37.12,4.38,50.0,10.36,50.0,1.87,37.79
202609090405,2026-09-09,04,5R,daily,68.6,22.21,54.48,17.09,53.23,6.28,50.0,10.36,50.0,1.87,57.81,53.19,17.22,42.54,13.34,54.84,6.47,50.0,10.36,50.0,1.87,49.26,50.76,16.44,30.59,9.59,43.12,5.08,50.0,10.36,50.0,1.87,43.35,48.3,15.64,49.71,15.59,60.89,7.18,50.0,10.36,50.0,1.87,50.64,42.68,13.82,61.65,19.34,54.4,6.41,50.0,10.36,50.0,1.87,51.8,35.78,11.58,44.93,14.09,36.65,4.32,50.0,10.36,50.0,1.87,42.23
