レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202609120201,2026-09-12,02,1R,daily,66.74,18.18,46.7,12.76,42.13,5.39,50.0,11.89,50.0,4.42,52.65,53.82,14.66,44.74,12.23,46.68,5.98,50.0,11.89,50.0,4.42,49.18,52.69,14.36,42.78,11.69,47.04,6.02,50.0,11.89,50.0,4.42,48.38,48.72,13.27,42.78,11.69,63.97,8.19,50.0,11.89,50.0,4.42,49.47,43.98,11.98,44.74,12.23,64.98,8.32,50.0,11.89,50.0,4.42,48.84,34.86,9.5,34.95,9.55,57.51,7.36,50.0,11.89,50.0,4.42,42.72
202609120201,2026-09-12,02,1R,realtime,66.74,18.18,46.7,12.76,42.13,5.39,79.09,18.81,47.32,4.18,59.33,53.82,14.66,44.74,12.23,46.68,5.97,41.74,9.93,50.23,4.44,47.23,52.69,14.36,42.78,11.69,47.04,6.02,52.72,12.54,48.01,4.24,48.85,48.72,13.27,42.78,11.69,63.97,8.19,34.11,8.11,50.05,4.42,45.69,43.98,11.98,44.74,12.23,64.98,8.32,45.84,10.9,52.86,4.67,48.1,34.86,9.5,34.95,9.55,57.51,7.36,46.48,11.06,51.3,4.53,42.0
202609120202,2026-09-12,02,2R,daily,66.74,18.18,48.66,13.3,55.1,7.05,50.0,11.89,50.0,4.42,54.85,53.82,14.66,66.29,18.12,50.67,6.49,50.0,11.89,50.0,4.42,55.58,52.69,14.36,52.58,14.37,72.18,9.24,50.0,11.89,50.0,4.42,54.28,48.72,13.27,44.74,12.23,47.65,6.1,50.0,11.89,50.0,4.42,47.91,43.98,11.98,44.74,12.23,47.71,6.11,50.0,11.89,50.0,4.42,46.63,34.86,9.5,48.66,13.3,59.39,7.6,50.0,11.89,50.0,4.42,46.71
202609120202,2026-09-12,02,2R,realtime,66.74,18.18,48.66,13.3,55.1,7.05,55.24,13.14,47.32,4.18,55.86,52.69,14.36,66.29,18.12,50.67,6.49,69.79,16.6,48.01,4.24,59.8,48.72,13.27,52.58,14.37,72.18,9.24,59.3,14.1,50.05,4.42,55.41,53.82,14.66,44.74,12.23,47.65,6.1,36.05,8.57,50.23,4.44,46.0,43.98,11.98,44.74,12.23,47.71,6.11,41.82,9.95,52.86,4.67,44.94,34.86,9.5,48.66,13.3,59.39,7.6,37.79,8.99,51.3,4.53,43.92
202609120203,2026-09-12,02,3R,daily,66.74,18.18,46.7,12.76,46.54,5.96,50.0,11.89,50.0,4.42,53.22,53.82,14.66,44.74,12.23,50.96,6.52,50.0,11.89,50.0,4.42,49.73,52.69,14.36,42.78,11.69,47.67,6.1,50.0,11.89,50.0,4.42,48.46,48.72,13.27,54.54,14.91,72.5,9.28,50.0,11.89,50.0,4.42,53.77,43.98,11.98,46.7,12.76,35.21,4.51,50.0,11.89,50.0,4.42,45.56,34.86,9.5,46.7,12.76,61.3,7.85,50.0,11.89,50.0,4.42,46.42
202609120203,2026-09-12,02,3R,realtime,66.74,18.18,46.7,12.76,46.54,5.96,51.38,12.22,48.39,4.28,53.4,53.82,14.66,44.74,12.23,50.96,6.52,56.53,13.44,49.98,4.42,51.28,52.69,14.36,42.78,11.69,47.67,6.1,39.72,9.45,48.23,4.26,45.86,48.72,13.27,54.54,14.91,72.5,9.28,52.17,12.41,49.4,4.37,54.23,43.98,11.98,46.7,12.76,35.21,4.51,48.5,11.53,52.67,4.65,45.44,34.86,9.5,46.7,12.76,61.3,7.85,51.66,12.29,51.11,4.52,46.91
202609120204,2026-09-12,02,4R,daily,66.74,18.18,42.78,11.69,46.84,6.0,50.0,11.89,50.0,4.42,52.18,53.82,14.66,60.42,16.51,66.27,8.48,50.0,11.89,50.0,4.42,55.97,52.69,14.36,46.7,12.76,43.08,5.51,50.0,11.89,50.0,4.42,48.95,48.72,13.27,58.46,15.98,45.93,5.88,50.0,11.89,50.0,4.42,51.44,43.98,11.98,46.7,12.76,58.13,7.44,50.0,11.89,50.0,4.42,48.5,34.86,9.5,46.7,12.76,46.99,6.01,50.0,11.89,50.0,4.42,44.59
202609120204,2026-09-12,02,4R,realtime,66.74,18.18,42.78,11.69,46.84,6.0,53.58,12.74,48.27,4.27,52.88,53.82,14.66,60.42,16.51,66.27,8.48,64.72,15.39,48.78,4.31,59.36,52.69,14.36,46.7,12.76,43.08,5.51,40.26,9.57,48.53,4.29,46.5,48.72,13.27,58.46,15.98,45.93,5.88,48.55,11.55,49.82,4.4,51.08,43.98,11.98,46.7,12.76,58.13,7.44,40.93,9.74,53.65,4.74,46.67,34.86,9.5,46.7,12.76,46.99,6.01,51.95,12.36,50.71,4.48,45.11
202609120205,2026-09-12,02,5R,daily,66.74,18.18,52.58,14.37,39.78,5.09,50.0,11.89,50.0,4.42,53.96,53.82,14.66,42.78,11.69,63.97,8.19,50.0,11.89,50.0,4.42,50.86,52.69,14.36,40.82,11.16,55.51,7.1,50.0,11.89,50.0,4.42,48.93,48.72,13.27,52.58,14.37,32.33,4.14,50.0,11.89,50.0,4.42,48.09,43.98,11.98,46.7,12.76,40.25,5.15,50.0,11.89,50.0,4.42,46.21,34.86,9.5,46.7,12.76,46.42,5.94,50.0,11.89,50.0,4.42,44.51
202609120205,2026-09-12,02,5R,realtime,66.74,18.18,52.58,14.37,39.78,5.09,60.88,14.48,48.39,4.28,56.4,53.82,14.66,42.78,11.69,63.97,8.19,50.0,11.89,49.98,4.42,50.85,53.82,14.66,40.82,11.16,55.51,7.1,53.8,12.8,49.98,4.42,50.14,52.69,14.36,52.58,14.37,32.33,4.14,65.09,15.48,48.23,4.26,52.61,48.72,13.27,46.7,12.76,40.25,5.15,27.1,6.44,49.4,4.37,42.0,43.98,11.98,46.7,12.76,46.42,5.94,43.11,10.25,52.67,4.65,45.6
