レースコード,レース日,レース場,レース回,締切時刻,取得日時,3連複_1=2=3,3連複_1=2=4,3連複_1=2=5,3連複_1=2=6,3連複_1=3=4,3連複_1=3=5,3連複_1=3=6,3連複_1=4=5,3連複_1=4=6,3連複_1=5=6,3連複_2=3=4,3連複_2=3=5,3連複_2=3=6,3連複_2=4=5,3連複_2=4=6,3連複_2=5=6,3連複_3=4=5,3連複_3=4=6,3連複_3=5=6,3連複_4=5=6,拡連複_1=2_下限,拡連複_1=2_上限,拡連複_1=3_下限,拡連複_1=3_上限,拡連複_1=4_下限,拡連複_1=4_上限,拡連複_1=5_下限,拡連複_1=5_上限,拡連複_1=6_下限,拡連複_1=6_上限,拡連複_2=3_下限,拡連複_2=3_上限,拡連複_2=4_下限,拡連複_2=4_上限,拡連複_2=5_下限,拡連複_2=5_上限,拡連複_2=6_下限,拡連複_2=6_上限,拡連複_3=4_下限,拡連複_3=4_上限,拡連複_3=5_下限,拡連複_3=5_上限,拡連複_3=6_下限,拡連複_3=6_上限,拡連複_4=5_下限,拡連複_4=5_上限,拡連複_4=6_下限,拡連複_4=6_上限,拡連複_5=6_下限,拡連複_5=6_上限,単勝_1,単勝_2,単勝_3,単勝_4,単勝_5,単勝_6,複勝_1_下限,複勝_1_上限,複勝_2_下限,複勝_2_上限,複勝_3_下限,複勝_3_上限,複勝_4_下限,複勝_4_上限,複勝_5_下限,複勝_5_上限,複勝_6_下限,複勝_6_上限
202609092101,2026-09-09,21,01R,08:32,2026-09-09T08:22:17.136852+09:00,2.2,7.7,14.4,159.0,3.7,12.7,159.0,8.1,79.5,159.0,15.1,35.3,159.0,19.8,159.0,0.0,31.8,0.0,0.0,318.0,3.6,6.4,2.3,2.8,1.5,1.7,2.7,3.3,5.1,8.7,13.0,22.5,3.0,5.1,3.4,5.4,0.0,0.0,3.1,4.0,5.3,5.9,26.0,44.2,1.9,2.2,5.1,8.6,2.7,4.1,1.8,4.2,12.7,6.3,4.2,12.7,1.0,1.0,1.8,25.8,3.3,51.3,3.3,51.3,1.3,17.3,3.3,51.3
202609091401,2026-09-09,14,01R,08:44,2026-09-09T08:34:28.615181+09:00,4.2,2.6,21.2,5.7,10.1,36.0,14.7,25.7,8.2,51.5,60.1,80.1,72.1,65.5,45.0,103.0,90.1,240.5,240.5,45.0,1.0,1.2,3.8,5.3,1.2,1.6,4.0,5.3,1.4,1.8,4.3,6.3,1.8,3.2,27.2,41.0,11.1,20.8,16.0,20.8,37.7,41.2,32.2,41.2,31.5,41.0,5.6,8.6,32.2,41.2,1.0,25.5,12.7,8.5,12.7,12.7,1.0,1.0,2.3,5.0,2.3,5.0,2.3,5.0,3.3,7.1,1.5,3.1
202609092102,2026-09-09,21,02R,08:58,2026-09-09T08:48:17.360079+09:00,5.5,4.8,19.9,66.3,1.8,13.2,132.7,9.2,28.4,398.2,22.1,398.2,199.1,56.8,132.7,0.0,44.2,398.2,398.2,398.2,1.7,9.2,1.1,3.7,1.0,1.0,7.1,31.2,13.8,90.0,37.1,62.2,3.3,23.4,40.0,62.1,0.0,0.0,2.2,11.6,57.6,62.1,29.1,46.8,5.0,20.8,5.1,31.0,24.8,37.5,1.4,4.3,0.0,2.8,17.2,0.0,1.1,4.5,3.3,16.8,3.3,16.8,1.0,1.0,3.3,16.8,3.3,16.8
202609091402,2026-09-09,14,02R,09:10,2026-09-09T09:01:02.173558+09:00,6.6,11.7,6.7,49.7,9.6,5.3,27.0,11.8,40.0,20.0,17.0,8.6,82.8,17.7,69.0,47.7,14.9,51.7,23.8,28.2,2.5,3.5,1.0,1.2,3.2,4.4,1.3,1.8,8.5,11.4,3.4,5.1,7.5,8.4,4.4,5.6,12.4,13.1,5.3,7.8,1.9,3.2,10.7,14.9,6.6,8.4,14.4,14.9,11.0,13.1,1.0,20.0,6.6,30.0,6.6,0.0,1.5,2.0,2.7,3.6,1.3,1.5,2.7,3.6,1.5,2.0,7.5,9.3
202609092103,2026-09-09,21,03R,09:24,2026-09-09T09:14:24.192492+09:00,7.2,19.8,14.2,45.6,3.8,1.9,26.8,12.0,41.4,41.4,114.0,41.4,228.0,114.0,152.0,456.0,28.5,228.0,50.6,91.2,3.1,4.1,1.2,1.7,8.4,11.4,1.2,1.5,8.7,11.4,11.5,15.4,13.1,15.3,2.8,3.5,39.7,44.7,7.2,9.4,1.3,1.8,35.2,44.7,2.8,3.3,20.0,22.6,3.9,4.6,1.0,0.0,53.2,26.6,17.7,53.2,1.0,1.0,2.6,27.9,1.8,18.7,1.8,18.7,2.6,27.9,2.6,27.9
202609092104,2026-09-09,21,04R,09:50,2026-09-09T09:40:26.408694+09:00,17.7,3.3,17.7,7.9,4.3,25.1,23.2,11.6,4.2,75.5,60.4,151.1,100.7,75.5,25.1,100.7,50.3,60.4,302.2,50.3,1.3,1.5,1.1,1.5,1.4,1.8,4.0,4.9,2.6,3.4,0.0,0.0,6.5,15.0,15.0,30.0,14.2,60.0,5.8,15.0,13.7,30.0,0.0,0.0,16.0,19.7,4.1,7.6,9.1,15.1,1.0,0.0,33.0,8.2,33.0,11.0,1.0,1.0,1.0,8.5,6.7,90.3,3.5,45.3,3.5,45.3,6.7,90.3
202609091403,2026-09-09,14,03R,09:51,2026-09-09T09:42:26.634865+09:00,7.9,14.3,8.7,49.9,2.8,4.0,35.1,4.9,59.3,43.1,45.2,59.3,237.3,52.7,135.6,237.3,26.3,158.2,316.5,49.9,2.8,4.3,1.0,1.3,1.5,2.3,1.5,2.3,14.1,15.4,3.5,8.2,7.5,9.1,13.2,16.1,24.8,38.1,2.1,5.2,2.8,7.3,0.0,0.0,4.3,5.7,34.2,55.3,34.2,56.6,1.0,138.0,11.5,10.6,17.2,138.0,1.0,1.0,2.5,4.7,3.2,6.0,3.2,6.0,1.1,1.9,4.3,8.1
202609092105,2026-09-09,21,05R,10:18,2026-09-09T10:08:23.396936+09:00,9.2,16.0,31.3,26.3,1.2,24.0,10.8,35.4,19.9,58.2,37.0,408.0,272.0,136.0,163.2,816.0,68.0,62.7,204.0,163.2,2.5,4.8,1.0,1.3,1.0,1.4,8.0,15.0,5.2,10.1,3.2,6.6,14.5,31.8,0.0,0.0,0.0,0.0,1.4,2.4,15.2,30.3,3.7,7.0,15.7,31.8,5.5,10.8,20.3,63.7,1.0,4.8,9.7,9.7,0.0,0.0,1.0,1.0,3.0,19.5,1.2,6.5,1.6,9.7,0.0,0.0,3.0,19.5
202609091404,2026-09-09,14,04R,10:25,2026-09-09T10:16:21.190004+09:00,2.3,8.9,6.0,44.3,14.1,9.8,45.8,14.7,51.1,47.5,12.6,8.9,88.7,27.1,190.0,120.9,45.8,266.1,190.0,55.4,1.1,1.2,1.9,2.7,3.3,4.6,3.6,5.3,8.3,11.3,2.0,3.0,5.6,8.3,2.6,3.7,11.4,15.9,3.1,3.5,3.8,4.4,10.6,11.1,4.5,5.1,15.0,15.9,15.2,15.6,1.8,3.6,4.1,8.2,16.5,11.0,1.0,1.1,3.0,5.7,1.1,1.9,1.8,3.3,13.8,25.8,3.7,7.0
202609091101,2026-09-09,11,01R,10:38,2026-09-09T10:28:32.489221+09:00,3.3,8.7,25.5,15.1,4.2,33.0,8.5,23.4,8.0,80.2,20.0,51.0,33.0,70.2,23.4,140.4,93.6,19.3,93.6,51.0,1.8,2.6,1.5,1.9,1.9,2.2,7.7,11.6,1.7,2.7,1.3,1.6,7.0,9.1,14.1,26.3,8.3,16.1,4.2,5.6,10.8,19.7,6.5,13.4,22.7,39.5,9.9,20.1,0.0,0.0,1.0,42.0,5.2,42.0,0.0,42.0,1.0,2.4,1.6,4.8,1.0,1.6,0.0,0.0,0.0,0.0,3.0,9.7
