レースコード,レース日,レース場,レース回,締切時刻,取得日時,2連単_1-2,2連単_1-3,2連単_1-4,2連単_1-5,2連単_1-6,2連単_2-1,2連単_2-3,2連単_2-4,2連単_2-5,2連単_2-6,2連単_3-1,2連単_3-2,2連単_3-4,2連単_3-5,2連単_3-6,2連単_4-1,2連単_4-2,2連単_4-3,2連単_4-5,2連単_4-6,2連単_5-1,2連単_5-2,2連単_5-3,2連単_5-4,2連単_5-6,2連単_6-1,2連単_6-2,2連単_6-3,2連単_6-4,2連単_6-5,2連複_1=2,2連複_1=3,2連複_1=4,2連複_1=5,2連複_1=6,2連複_2=3,2連複_2=4,2連複_2=5,2連複_2=6,2連複_3=4,2連複_3=5,2連複_3=6,2連複_4=5,2連複_4=6,2連複_5=6
202609102101,2026-09-10,21,01R,08:32,2026-09-10T08:22:22.616340+09:00,5.2,4.7,20.5,2.8,27.4,13.7,61.6,49.3,27.4,49.3,20.5,41.1,246.7,41.1,0.0,246.7,61.6,246.7,123.3,123.3,13.7,27.4,35.2,123.3,49.3,0.0,82.2,0.0,246.7,0.0,1.8,26.2,52.5,2.6,0.0,0.0,0.0,17.5,0.0,0.0,4.3,52.5,26.2,0.0,0.0
202609101401,2026-09-10,14,01R,08:44,2026-09-10T08:34:19.043665+09:00,2.6,5.1,3.4,8.0,49.5,23.0,61.9,49.5,99.1,991.5,30.9,70.8,52.1,90.1,495.7,16.5,99.1,198.3,36.7,991.5,52.1,247.8,198.3,110.1,330.5,330.5,0.0,991.5,991.5,495.7,2.1,3.7,3.0,7.4,43.3,86.7,37.1,21.6,0.0,130.1,130.1,0.0,37.1,0.0,260.2
202609102102,2026-09-10,21,02R,08:58,2026-09-10T08:48:22.819583+09:00,9.4,4.7,2.6,13.2,53.1,40.8,132.7,177.0,531.0,265.5,18.3,106.2,35.4,88.5,265.5,6.2,33.1,18.9,15.1,75.8,53.1,106.2,177.0,48.2,132.7,265.5,531.0,0.0,265.5,0.0,8.0,5.1,1.7,24.0,72.0,18.0,12.0,72.0,0.0,12.0,36.0,72.0,12.0,72.0,72.0
202609101402,2026-09-10,14,02R,09:10,2026-09-10T09:00:53.634336+09:00,14.0,35.0,30.7,8.9,327.5,14.0,18.8,20.0,7.6,75.5,28.0,30.7,31.6,14.0,98.2,44.6,37.7,49.1,16.9,245.6,9.7,7.4,12.1,12.4,33.8,81.8,327.5,491.2,491.2,196.5,5.2,8.7,9.6,6.5,61.2,20.4,22.9,3.4,0.0,30.6,5.5,0.0,13.1,30.6,20.4
202609102103,2026-09-10,21,03R,09:24,2026-09-10T09:14:25.791104+09:00,7.2,3.4,48.4,8.6,69.2,69.2,96.9,161.5,484.5,242.2,2.3,40.3,161.5,8.5,60.5,69.2,161.5,484.5,242.2,242.2,48.4,96.9,24.2,242.2,80.7,0.0,0.0,242.2,0.0,0.0,24.2,1.2,72.7,9.7,48.5,13.2,145.5,72.7,0.0,72.7,6.3,29.1,0.0,0.0,36.3
202609101403,2026-09-10,14,03R,09:36,2026-09-10T09:26:24.433915+09:00,2.4,5.6,33.3,8.7,152.2,9.1,11.5,50.7,27.3,213.1,13.4,14.0,106.5,38.0,152.2,71.0,118.4,177.6,66.6,532.8,36.7,39.4,71.0,88.8,106.5,355.2,532.8,355.2,1065,133.2,2.4,3.5,6.8,5.4,54.7,13.6,109.5,13.6,0.0,54.7,13.6,109.5,54.7,0.0,54.7
202609102104,2026-09-10,21,04R,09:50,2026-09-10T09:40:28.474133+09:00,19.4,1.7,40.5,13.5,21.1,69.5,162.2,243.3,243.3,243.3,7.3,81.1,24.3,22.1,16.2,121.6,121.6,54.0,121.6,44.2,69.5,121.6,54.0,162.2,81.1,25.6,0.0,24.3,54.0,121.6,49.2,1.1,21.1,12.3,18.4,49.2,73.8,147.7,147.7,29.5,18.4,12.3,49.2,147.7,147.7
202609101404,2026-09-10,14,04R,10:02,2026-09-10T09:52:23.052824+09:00,12.8,15.1,14.0,6.0,108.1,17.5,31.5,29.1,24.4,126.1,34.3,30.2,22.2,18.4,108.1,18.0,29.1,23.6,6.8,108.1,8.6,19.4,23.6,12.4,75.6,756.7,756.7,378.3,756.7,378.3,3.4,9.5,4.1,7.2,76.5,19.1,15.3,19.1,0.0,19.1,9.5,0.0,4.7,153.0,153.0
202609102105,2026-09-10,21,05R,10:18,2026-09-10T10:08:18.853636+09:00,5.7,7.1,107.5,13.4,26.8,7.0,14.6,80.6,32.2,16.9,8.2,13.4,35.8,14.0,11.9,107.5,107.5,322.5,322.5,161.2,64.5,40.3,64.5,322.5,46.0,29.3,46.0,32.2,161.2,322.5,2.6,2.5,134.2,16.7,14.9,8.9,44.7,22.3,22.3,67.1,11.1,19.1,0.0,67.1,26.8
202609101405,2026-09-10,14,05R,10:28,2026-09-10T10:18:17.720510+09:00,13.6,19.2,4.2,13.6,92.5,20.5,35.5,30.8,34.2,185.1,18.8,38.5,27.2,28.9,132.2,6.0,21.5,31.9,6.5,35.5,26.4,51.4,29.8,19.2,154.2,231.3,308.5,308.5,308.5,308.5,11.2,7.5,3.7,5.7,67.5,15.5,9.2,20.2,101.2,13.5,25.3,67.5,3.6,67.5,101.2
