レースコード,レース日,レース場,レース回,締切時刻,取得日時,3連単_1-2-3,3連単_1-2-4,3連単_1-2-5,3連単_1-2-6,3連単_1-3-2,3連単_1-3-4,3連単_1-3-5,3連単_1-3-6,3連単_1-4-2,3連単_1-4-3,3連単_1-4-5,3連単_1-4-6,3連単_1-5-2,3連単_1-5-3,3連単_1-5-4,3連単_1-5-6,3連単_1-6-2,3連単_1-6-3,3連単_1-6-4,3連単_1-6-5,3連単_2-1-3,3連単_2-1-4,3連単_2-1-5,3連単_2-1-6,3連単_2-3-1,3連単_2-3-4,3連単_2-3-5,3連単_2-3-6,3連単_2-4-1,3連単_2-4-3,3連単_2-4-5,3連単_2-4-6,3連単_2-5-1,3連単_2-5-3,3連単_2-5-4,3連単_2-5-6,3連単_2-6-1,3連単_2-6-3,3連単_2-6-4,3連単_2-6-5,3連単_3-1-2,3連単_3-1-4,3連単_3-1-5,3連単_3-1-6,3連単_3-2-1,3連単_3-2-4,3連単_3-2-5,3連単_3-2-6,3連単_3-4-1,3連単_3-4-2,3連単_3-4-5,3連単_3-4-6,3連単_3-5-1,3連単_3-5-2,3連単_3-5-4,3連単_3-5-6,3連単_3-6-1,3連単_3-6-2,3連単_3-6-4,3連単_3-6-5,3連単_4-1-2,3連単_4-1-3,3連単_4-1-5,3連単_4-1-6,3連単_4-2-1,3連単_4-2-3,3連単_4-2-5,3連単_4-2-6,3連単_4-3-1,3連単_4-3-2,3連単_4-3-5,3連単_4-3-6,3連単_4-5-1,3連単_4-5-2,3連単_4-5-3,3連単_4-5-6,3連単_4-6-1,3連単_4-6-2,3連単_4-6-3,3連単_4-6-5,3連単_5-1-2,3連単_5-1-3,3連単_5-1-4,3連単_5-1-6,3連単_5-2-1,3連単_5-2-3,3連単_5-2-4,3連単_5-2-6,3連単_5-3-1,3連単_5-3-2,3連単_5-3-4,3連単_5-3-6,3連単_5-4-1,3連単_5-4-2,3連単_5-4-3,3連単_5-4-6,3連単_5-6-1,3連単_5-6-2,3連単_5-6-3,3連単_5-6-4,3連単_6-1-2,3連単_6-1-3,3連単_6-1-4,3連単_6-1-5,3連単_6-2-1,3連単_6-2-3,3連単_6-2-4,3連単_6-2-5,3連単_6-3-1,3連単_6-3-2,3連単_6-3-4,3連単_6-3-5,3連単_6-4-1,3連単_6-4-2,3連単_6-4-3,3連単_6-4-5,3連単_6-5-1,3連単_6-5-2,3連単_6-5-3,3連単_6-5-4
202609102101,2026-09-10,21,01R,08:32,2026-09-10T08:22:22.616340+09:00,12.7,26.1,10.3,30.2,19.0,44.2,7.8,21.2,57.1,73.1,66.9,101.7,12.2,7.2,43.6,15.4,65.6,44.8,107.0,38.5,86.1,151.8,70.6,141.2,207.5,423.7,442.2,635.6,535.3,1271,565.0,1130,118.2,328.0,406.8,350.7,423.7,1130,1017,1271,130.3,166.7,64.3,133.8,231.1,308.2,508.5,423.7,678.0,847.5,2542,1695,86.9,236.5,282.5,169.5,290.5,442.2,87.6,350.7,203.4,508.5,260.7,726.4,339.0,535.3,391.1,847.5,847.5,598.2,1017,847.5,216.3,376.6,1452,726.4,1130,782.3,1271,1017,49.1,41.3,119.6,59.4,114.2,141.2,274.8,290.5,91.6,161.4,508.5,151.8,267.6,376.6,726.4,565.0,104.8,254.2,199.4,442.2,216.3,299.1,924.6,184.9,462.3,678.0,1130,782.3,462.3,782.3,678.0,508.5,1695,847.5,5085,3390,248.0,565.0,406.8,847.5
202609101401,2026-09-10,14,01R,08:44,2026-09-10T08:34:19.043665+09:00,13.6,6.2,14.9,113.6,18.9,13.9,22.1,184.0,6.7,12.7,6.8,92.7,19.0,26.3,14.0,152.8,338.5,373.6,234.6,423.8,152.8,80.3,134.1,302.0,234.6,446.3,471.4,1261,141.2,504.4,336.2,1261,242.5,630.5,397.1,1327,1050,2522,2802,3880,182.0,140.1,157.6,720.5,305.7,379.2,485.0,1096,266.8,499.4,420.3,1401,406.7,525.4,525.4,2017,2193,2017,1940,3602,52.0,117.3,41.7,327.5,99.8,329.6,202.5,900.7,289.8,536.6,480.3,1401,65.5,169.8,300.2,607.7,1627,1801,2292,2802,127.3,211.0,77.4,720.5,228.2,690.9,362.8,1576,458.5,1146,663.7,2522,99.4,305.7,593.4,1230,2292,2193,4203,3362,1050,1627,2017,1868,1681,2193,1940,3602,2017,4203,3152,3362,4585,2967,4203,3880,2967,3880,6305,3602
202609102102,2026-09-10,21,02R,08:58,2026-09-10T08:48:22.819583+09:00,44.5,31.9,91.5,201.1,34.0,10.5,35.4,190.8,13.7,5.4,14.4,72.9,61.3,48.5,56.2,318.9,259.6,343.5,360.1,485.4,177.2,117.5,245.3,558.2,197.6,265.8,531.6,1395,165.4,289.9,620.2,858.8,343.5,587.6,544.6,2029,797.4,2481,1175,2791,97.9,30.4,72.9,405.9,245.3,175.8,301.7,827.0,34.8,118.7,81.7,507.4,157.2,245.3,170.4,1063,1175,1313,485.4,970.8,19.3,8.7,18.2,87.2,65.8,101.4,132.9,372.1,24.5,86.8,56.1,240.1,30.0,66.6,55.1,143.1,391.7,429.4,930.4,437.8,282.6,195.8,146.9,572.5,455.7,558.2,558.2,1594,372.1,769.9,328.3,531.6,124.0,129.8,216.7,354.4,1175,1860,1240,1175,637.9,930.4,970.8,1717,769.9,893.1,2029,3189,2481,2232,858.8,2232,1488,1063,1488,1717,1395,2029,1717,1860
202609101402,2026-09-10,14,02R,09:10,2026-09-10T09:00:53.634336+09:00,44.7,62.2,21.1,146.0,73.2,83.5,49.4,308.6,88.9,111.2,58.5,339.3,19.7,41.5,49.7,153.4,371.6,551.8,525.3,546.3,53.5,68.2,23.1,231.5,97.2,139.7,39.1,479.2,105.0,136.9,43.6,401.7,18.8,22.9,26.5,139.0,551.8,758.8,993.3,569.1,136.9,148.8,81.9,437.0,156.1,120.8,54.3,426.8,199.3,140.0,61.6,331.1,66.6,41.4,52.8,171.2,926.0,674.5,709.5,620.8,135.9,250.6,77.0,305.2,185.8,202.3,63.4,341.4,274.5,193.7,89.8,433.6,53.4,36.8,58.9,85.3,557.5,390.2,505.8,284.5,23.9,47.5,42.8,133.5,20.7,25.4,28.0,102.8,63.1,46.1,57.5,181.5,44.8,35.9,47.0,100.4,269.1,208.5,278.7,233.4,1517,1606,1883,1365,1476,1050,1883,1214,1762,2023,1821,1437,2101,2101,1655,1187,1270,1092,1400,1138
202609102103,2026-09-10,21,03R,09:24,2026-09-10T09:14:25.791104+09:00,44.4,135.3,61.5,133.6,14.5,45.4,4.3,33.6,142.4,147.2,177.1,357.2,28.4,15.5,82.8,93.1,213.6,163.8,444.7,272.4,140.5,396.2,247.6,427.2,126.6,518.8,217.9,681.0,702.9,1089,908.0,1089,272.4,419.0,751.4,702.9,807.1,1362,1452,1556,19.0,68.5,4.6,27.1,70.7,234.3,71.2,168.9,351.4,363.2,363.2,751.4,10.6,32.7,112.3,35.8,102.7,220.1,518.8,87.5,396.2,531.5,302.6,558.7,463.6,588.9,325.2,751.4,473.7,681.0,778.2,908.0,345.9,463.6,622.6,726.4,1281,908.0,2421,1816,137.9,40.7,330.1,201.7,256.3,253.3,605.3,573.4,44.6,175.7,531.5,102.3,411.1,702.9,908.0,947.4,389.1,990.5,286.7,908.0,640.9,369.3,871.6,702.9,726.4,751.4,1676,1281,506.7,1362,588.9,375.7,1981,1037,2179,2724,807.1,1281,605.3,1676
202609101403,2026-09-10,14,03R,09:36,2026-09-10T09:26:24.433915+09:00,7.3,39.3,8.3,160.8,11.0,31.7,10.3,215.4,85.1,79.2,75.2,403.4,14.1,16.9,63.5,293.9,422.6,487.7,457.5,522.1,22.1,88.5,22.8,245.2,37.4,141.3,46.7,652.6,181.1,267.3,199.9,1268,33.2,51.3,151.4,616.4,924.6,1431,1431,1232,38.9,101.5,37.4,221.9,59.8,129.7,62.4,599.7,210.3,284.5,228.7,870.2,54.7,62.8,178.2,682.8,1643,1305,1707,1530,174.7,229.9,106.6,599.7,303.9,308.2,237.3,576.3,346.7,385.9,295.8,1008,146.4,169.3,215.4,504.3,1431,662.4,1479,682.8,35.4,52.4,128.6,569.0,56.0,82.6,236.0,482.4,75.3,108.2,319.3,778.6,179.6,247.9,290.0,561.8,806.9,672.4,1232,643.2,1344,1431,1232,1109,1386,1585,1643,1530,1530,1707,1530,1585,1431,1849,2335,2113,1008,1305,1056,1929
202609102104,2026-09-10,21,04R,09:50,2026-09-10T09:40:28.474133+09:00,49.2,44.6,61.9,66.9,25.1,9.4,10.7,5.7,44.7,41.1,61.7,56.9,42.7,35.3,67.7,53.8,80.2,18.2,62.2,60.1,274.6,382.5,218.5,375.8,200.1,465.6,334.6,522.4,486.8,738.6,578.9,630.0,297.5,563.7,823.8,1530,510.0,738.6,1260,931.3,92.3,38.5,23.9,16.8,252.0,225.4,238.0,267.7,111.5,264.4,140.9,92.3,58.2,232.8,119.6,51.3,31.2,232.8,67.5,41.0,329.5,184.6,220.8,216.3,396.6,498.1,278.1,714.0,220.8,498.1,310.4,205.9,249.0,437.1,274.6,334.6,351.1,578.9,319.7,549.2,138.1,108.7,281.8,194.7,319.7,522.4,612.0,1260,141.8,578.9,411.9,123.8,319.7,690.9,612.0,612.0,240.6,765.0,146.7,649.1,278.1,61.2,319.7,218.5,510.0,510.0,1071,595.0,60.1,334.6,140.9,108.1,486.8,549.2,306.0,669.3,324.5,765.0,171.3,595.0
202609101404,2026-09-10,14,04R,10:02,2026-09-10T09:52:23.052824+09:00,40.7,28.5,22.4,162.2,52.2,34.1,28.4,182.0,35.6,46.5,15.3,220.7,21.4,27.9,16.9,149.8,419.2,490.9,410.0,358.7,84.9,78.0,55.2,206.1,121.9,162.2,98.9,405.5,127.7,165.8,78.5,384.6,71.2,102.2,90.3,449.5,556.9,777.3,1130,731.6,93.0,74.1,56.1,171.1,166.5,96.9,95.9,472.3,93.9,147.4,61.7,316.2,64.5,101.1,69.0,296.1,981.9,1130,611.6,746.2,51.6,61.5,21.5,184.7,95.4,133.7,64.1,348.7,114.1,189.4,68.4,438.9,19.2,33.1,39.1,90.5,632.4,654.6,690.9,287.0,36.5,41.4,23.8,158.7,69.7,99.7,88.0,388.6,81.4,130.9,85.1,414.5,30.5,62.6,60.2,142.4,466.4,574.0,540.7,310.9,1243,1243,1435,1622,1166,1554,1865,1963,1332,2194,1332,1696,2072,1963,1963,761.4,1203,1435,1696,746.2
202609102105,2026-09-10,21,05R,10:18,2026-09-10T10:08:18.853636+09:00,6.0,50.8,17.3,18.0,8.7,45.6,19.6,25.8,123.3,162.4,229.6,302.7,30.6,33.5,206.5,95.4,62.2,95.4,328.9,144.8,19.0,160.5,58.4,55.6,22.3,203.3,53.7,59.6,341.5,416.3,543.7,416.3,161.4,96.5,720.1,209.7,118.4,114.8,451.5,211.4,18.4,100.5,38.2,49.5,30.0,80.7,40.6,65.3,115.8,107.4,484.4,429.7,98.6,66.7,328.9,77.2,118.4,107.8,386.1,93.1,333.0,391.8,364.9,459.3,386.1,429.7,355.2,532.8,467.4,634.3,634.3,859.4,391.8,422.9,532.8,416.3,859.4,605.5,1065,888.1,186.3,165.4,355.2,251.3,253.7,223.8,555.0,391.8,246.7,233.7,605.5,180.0,579.2,1065,986.8,888.1,649.8,502.7,286.4,543.7,186.3,299.3,1268,634.3,190.3,182.4,1268,566.8,289.6,231.6,666.0,306.2,1480,888.1,1665,1567,634.3,666.0,350.5,1567
202609101405,2026-09-10,14,05R,10:28,2026-09-10T10:18:17.720510+09:00,33.0,18.4,31.1,129.7,53.6,24.6,44.5,213.9,15.1,21.0,11.0,95.4,40.6,51.6,23.3,195.0,449.5,505.2,445.7,624.0,90.6,59.3,81.1,285.2,130.9,117.3,143.7,558.4,75.7,113.8,76.0,486.6,131.3,168.9,105.8,707.3,803.7,1515,1560,1768,113.3,55.2,88.1,217.4,156.0,85.8,108.0,469.4,66.8,111.4,71.3,390.0,132.2,139.6,96.8,500.4,1205,1060,1000,1153,25.9,35.7,14.0,118.6,45.8,90.3,39.5,226.7,66.0,136.7,73.8,337.8,16.4,29.2,43.2,75.4,408.0,486.6,609.7,265.2,96.1,114.0,52.1,387.2,132.2,214.7,134.6,646.9,167.8,293.0,174.5,982.3,50.8,92.5,106.0,197.9,582.9,828.8,899.1,477.9,1293,1360,1128,1711,1233,1964,1829,1829,1607,1768,1360,1964,1473,1607,1964,914.6,1360,2210,2652,869.6
202609101301,2026-09-10,13,01R,10:38,2026-09-10T10:28:20.586887+09:00,24.9,124.5,99.2,173.3,14.1,32.7,17.4,47.9,157.2,149.6,191.2,276.9,108.4,53.1,134.4,181.8,187.4,135.4,421.6,294.4,76.3,289.8,220.8,618.4,83.9,203.8,122.8,231.9,598.4,431.4,687.1,843.3,257.6,167.1,639.7,463.8,579.7,412.2,843.3,742.1,8.6,26.9,7.9,26.2,22.1,61.4,23.8,75.1,57.4,127.0,32.8,71.3,15.6,24.4,25.4,24.7,59.2,105.4,99.7,50.5,421.6,325.4,268.8,488.2,618.4,331.2,452.5,806.6,218.2,319.8,173.3,257.6,356.7,515.3,254.1,463.8,927.6,598.4,598.4,742.1,165.6,82.8,276.9,210.8,247.3,152.0,687.1,331.2,71.9,155.9,180.1,117.4,412.2,927.6,403.3,421.6,265.0,319.8,325.4,314.4,488.2,223.5,806.6,639.7,713.5,598.4,1091,1091,289.8,431.4,394.7,325.4,1325,1091,713.5,687.1,976.4,1159,463.8,883.4
