レースコード,レース日,レース場,レース回,締切時刻,取得日時,艇1_コース,艇1_スタート展示,艇2_コース,艇2_スタート展示,艇3_コース,艇3_スタート展示,艇4_コース,艇4_スタート展示,艇5_コース,艇5_スタート展示,艇6_コース,艇6_スタート展示
202609102101,2026-09-10,21,01R,08:32,2026-09-10T08:22:22.616340+09:00,1,0.15,2,0.29,3,0.34,6,0.21,4,0.21,5,0.38
202609101401,2026-09-10,14,01R,08:44,2026-09-10T08:34:19.043665+09:00,1,0.08,2,0.07,3,-0.05,4,-0.06,5,-0.12,6,0.03
202609102102,2026-09-10,21,02R,08:58,2026-09-10T08:48:22.819583+09:00,1,0.07,2,0.17,3,0.18,4,0.11,5,0.06,6,0.2
202609101402,2026-09-10,14,02R,09:10,2026-09-10T09:00:53.634336+09:00,1,0.02,2,-0.04,3,0.05,4,0.01,5,0.03,6,0.08
202609102103,2026-09-10,21,03R,09:24,2026-09-10T09:14:25.791104+09:00,1,0.04,2,0.18,3,0.16,6,0.15,4,0.19,5,0.18
202609101403,2026-09-10,14,03R,09:36,2026-09-10T09:26:24.433915+09:00,1,0.02,2,0.14,3,0.18,4,0.02,5,0.01,6,0.0
202609102104,2026-09-10,21,04R,09:50,2026-09-10T09:40:28.474133+09:00,1,-0.06,2,-0.03,3,0.03,4,0.01,5,0.02,6,0.22
202609101404,2026-09-10,14,04R,10:02,2026-09-10T09:52:23.052824+09:00,1,0.05,2,0.01,3,0.11,4,-0.02,5,-0.03,6,-0.06
202609102105,2026-09-10,21,05R,10:18,2026-09-10T10:08:18.853636+09:00,1,0.13,2,0.08,3,0.08,4,0.06,5,0.03,6,0.03
202609101405,2026-09-10,14,05R,10:28,2026-09-10T10:18:17.720510+09:00,1,0.46,2,0.11,3,0.02,4,0.06,5,0.05,6,0.19
202609101301,2026-09-10,13,01R,10:38,2026-09-10T10:28:20.586887+09:00,1,0.12,2,0.1,3,0.12,4,0.08,5,0.03,6,0.05
202609101701,2026-09-10,17,01R,10:45,2026-09-10T10:36:19.387101+09:00,1,-0.03,3,-0.03,4,0.06,5,0.04,2,-0.01,6,0.11
202609102106,2026-09-10,21,06R,10:47,2026-09-10T10:38:19.918878+09:00,1,0.06,3,0.12,5,-0.01,4,-0.01,6,0.0,2,0.23
202609101601,2026-09-10,16,01R,10:53,2026-09-10T10:44:25.419090+09:00,1,-0.04,2,0.18,3,0.43,4,0.12,5,0.09,6,-0.07
202609100401,2026-09-10,04,01R,10:55,2026-09-10T10:46:20.663850+09:00,1,0.04,2,0.13,3,0.03,4,-0.06,5,0.01,6,-0.01
202609101406,2026-09-10,14,06R,10:58,2026-09-10T10:48:18.634714+09:00,1,0.03,2,0.01,3,0.12,4,0.16,5,0.03,6,0.01
202609100501,2026-09-10,05,01R,11:03,2026-09-10T10:54:20.905857+09:00,1,-0.04,2,0.03,3,0.03,4,0.26,5,0.06,6,0.14
202609101302,2026-09-10,13,02R,11:06,2026-09-10T10:56:28.462905+09:00,1,0.05,2,-0.01,3,0.1,6,-0.01,4,0.11,5,0.09
202609101702,2026-09-10,17,02R,11:11,2026-09-10T11:02:22.649704+09:00,1,0.15,2,0.26,3,0.25,4,-0.01,5,-0.03,6,0.02
202609100301,2026-09-10,03,01R,11:14,2026-09-10T11:04:25.475462+09:00,1,0.24,2,-0.05,3,-0.01,4,0.09,5,-0.01,6,-0.03
202609102107,2026-09-10,21,07R,11:18,2026-09-10T11:08:23.437341+09:00,1,0.06,2,0.1,3,-0.04,4,-0.07,5,-0.03,6,0.4
202609101602,2026-09-10,16,02R,11:22,2026-09-10T11:12:24.121930+09:00,1,0.21,2,0.38,3,0.09,4,0.19,5,0.0,6,0.08
202609100402,2026-09-10,04,02R,11:24,2026-09-10T11:14:17.568494+09:00,1,0.04,3,0.01,4,0.12,5,-0.05,6,-0.03,2,0.02
202609101407,2026-09-10,14,07R,11:28,2026-09-10T11:18:20.734236+09:00,1,0.06,2,-0.02,3,0.18,4,0.08,5,0.02,6,-0.03
202609100502,2026-09-10,05,02R,11:32,2026-09-10T11:22:25.764255+09:00,1,0.02,2,0.02,3,0.01,4,0.12,5,0.09,6,0.05
