レースコード,レース日,レース場,レース回,締切時刻,取得日時,気象観測時刻,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃)
202609141001,2026-09-14,10,01R,08:32,2026-09-14T08:22:25.620101+09:00,0759,2.0,4,2.0,2,27.0,25.0
202609142101,2026-09-14,21,01R,08:44,2026-09-14T08:34:20.677437+09:00,0755,2.0,8,2.0,3,22.9,26.8
202609141002,2026-09-14,10,02R,08:58,2026-09-14T08:48:21.621348+09:00,0835,1.0,4,1.0,2,28.0,25.0
202609142102,2026-09-14,21,02R,09:10,2026-09-14T09:00:54.587359+09:00,0847,0.0,,1.0,3,22.8,26.7
202609141003,2026-09-14,10,03R,09:24,2026-09-14T09:14:25.316152+09:00,0901,3.0,8,3.0,2,26.0,25.0
202609142103,2026-09-14,21,03R,09:36,2026-09-14T09:26:27.461782+09:00,0913,2.0,7,2.0,2,23.2,26.7
202609141004,2026-09-14,10,04R,09:50,2026-09-14T09:40:25.149433+09:00,0927,2.0,8,2.0,2,25.0,25.0
202609142104,2026-09-14,21,04R,10:02,2026-09-14T09:52:21.130180+09:00,0939,2.0,7,2.0,2,22.7,26.7
202609141005,2026-09-14,10,05R,10:18,2026-09-14T10:08:23.402228+09:00,0953,2.0,8,2.0,2,26.0,25.0
202609141101,2026-09-14,11,01R,10:29,2026-09-14T10:20:21.881209+09:00,0955,1.0,2,1.0,2,26.0,27.0
202609142105,2026-09-14,21,05R,10:31,2026-09-14T10:22:21.607545+09:00,1005,2.0,7,2.0,2,22.8,26.7
202609140901,2026-09-14,09,01R,10:34,2026-09-14T10:24:25.674464+09:00,0930,2.0,3,1.0,3,25.0,25.0
202609141801,2026-09-14,18,01R,10:38,2026-09-14T10:28:27.027031+09:00,1000,2.0,5,2.0,2,27.0,27.0
202609140801,2026-09-14,08,01R,10:43,2026-09-14T10:34:24.540599+09:00,0950,3.0,4,1.0,2,27.0,28.0
202609140201,2026-09-14,02,01R,10:47,2026-09-14T10:38:26.481266+09:00,1030,3.0,5,1.0,1,29.0,25.0
202609141006,2026-09-14,10,06R,10:50,2026-09-14T10:40:25.204393+09:00,1021,3.0,8,3.0,2,25.0,25.0
202609140401,2026-09-14,04,01R,10:55,2026-09-14T10:46:22.989373+09:00,0958,5.0,5,3.0,1,30.0,26.0
202609141102,2026-09-14,11,02R,10:58,2026-09-14T10:48:22.005731+09:00,1032,0.0,,1.0,1,26.0,27.0
202609142106,2026-09-14,21,06R,11:00,2026-09-14T10:50:32.181100+09:00,1034,0.0,,1.0,2,23.2,26.7
202609140902,2026-09-14,09,02R,11:03,2026-09-14T10:54:21.717165+09:00,1038,0.0,,0.0,3,25.0,25.0
202609141802,2026-09-14,18,02R,11:08,2026-09-14T10:58:31.979533+09:00,1000,2.0,5,2.0,2,27.0,27.0
202609140802,2026-09-14,08,02R,11:14,2026-09-14T11:04:25.692253+09:00,1047,3.0,4,1.0,2,27.0,28.0
202609140202,2026-09-14,02,02R,11:16,2026-09-14T11:06:22.870131+09:00,1051,3.0,6,2.0,1,30.0,25.0
202609141007,2026-09-14,10,07R,11:20,2026-09-14T11:10:29.595938+09:00,1053,2.0,8,2.0,2,26.0,25.0
202609140402,2026-09-14,04,02R,11:24,2026-09-14T11:14:22.687359+09:00,1058,4.0,5,3.0,1,31.0,26.0
202609141103,2026-09-14,11,03R,11:27,2026-09-14T11:18:19.755539+09:00,1101,3.0,2,2.0,1,27.0,27.0
202609142107,2026-09-14,21,07R,11:30,2026-09-14T11:20:27.936328+09:00,1103,1.0,7,1.0,3,23.3,26.7
202609140601,2026-09-14,06,01R,11:34,2026-09-14T11:24:17.961956+09:00,0940,0.0,,0.0,3,27.0,26.0
202609140903,2026-09-14,09,03R,11:33,2026-09-14T11:24:17.961956+09:00,1107,1.0,5,1.0,2,25.0,25.0
202609141803,2026-09-14,18,03R,11:38,2026-09-14T11:28:29.222127+09:00,1041,2.0,5,2.0,2,28.0,27.0
202609140803,2026-09-14,08,03R,11:42,2026-09-14T11:32:19.684171+09:00,1047,3.0,4,1.0,2,27.0,28.0
202609140203,2026-09-14,02,03R,11:45,2026-09-14T11:36:18.789499+09:00,1119,3.0,5,1.0,1,30.0,25.0
202609142201,2026-09-14,22,01R,11:48,2026-09-14T11:38:22.749826+09:00,1105,1.0,5,2.0,2,25.0,27.0
202609141008,2026-09-14,10,08R,11:50,2026-09-14T11:40:25.683220+09:00,1123,4.0,1,4.0,2,26.0,26.0
202609140403,2026-09-14,04,03R,11:53,2026-09-14T11:44:17.337708+09:00,1127,7.0,5,4.0,1,30.0,26.0
202609141104,2026-09-14,11,04R,11:56,2026-09-14T11:46:24.138597+09:00,1130,4.0,2,3.0,2,26.0,27.0
202609140602,2026-09-14,06,02R,11:59,2026-09-14T11:50:32.223709+09:00,1138,2.0,4,1.0,3,25.0,27.0
202609142108,2026-09-14,21,08R,12:01,2026-09-14T11:52:18.820574+09:00,1133,0.0,,1.0,2,23.0,26.7
202609140904,2026-09-14,09,04R,12:03,2026-09-14T11:54:23.203907+09:00,1107,1.0,5,1.0,2,25.0,25.0
202609141804,2026-09-14,18,04R,12:10,2026-09-14T12:00:49.508005+09:00,1141,5.0,4,5.0,2,28.0,27.0
202609140204,2026-09-14,02,04R,12:14,2026-09-14T12:04:24.324068+09:00,1148,3.0,5,1.0,1,30.0,25.0
202609142202,2026-09-14,22,02R,12:18,2026-09-14T12:08:23.146071+09:00,1151,2.0,5,2.0,2,25.0,27.0
202609140404,2026-09-14,04,04R,12:22,2026-09-14T12:12:24.507865+09:00,1156,4.0,5,3.0,1,30.0,26.0
