レースコード,レース日,レース場,レース回,締切時刻,取得日時,ボーダー順位,1着点,2着点,3着点,4着点,5着点,6着点,艇1_級別,艇1_登録番号,艇1_選手名,艇1_得点率,艇1_順位,艇1_ボーダー状態,艇1_早見,艇1_1着時得点率,艇1_1着時状態,艇1_2着時得点率,艇1_2着時状態,艇1_3着時得点率,艇1_3着時状態,艇1_4着時得点率,艇1_4着時状態,艇1_5着時得点率,艇1_5着時状態,艇1_6着時得点率,艇1_6着時状態,艇2_級別,艇2_登録番号,艇2_選手名,艇2_得点率,艇2_順位,艇2_ボーダー状態,艇2_早見,艇2_1着時得点率,艇2_1着時状態,艇2_2着時得点率,艇2_2着時状態,艇2_3着時得点率,艇2_3着時状態,艇2_4着時得点率,艇2_4着時状態,艇2_5着時得点率,艇2_5着時状態,艇2_6着時得点率,艇2_6着時状態,艇3_級別,艇3_登録番号,艇3_選手名,艇3_得点率,艇3_順位,艇3_ボーダー状態,艇3_早見,艇3_1着時得点率,艇3_1着時状態,艇3_2着時得点率,艇3_2着時状態,艇3_3着時得点率,艇3_3着時状態,艇3_4着時得点率,艇3_4着時状態,艇3_5着時得点率,艇3_5着時状態,艇3_6着時得点率,艇3_6着時状態,艇4_級別,艇4_登録番号,艇4_選手名,艇4_得点率,艇4_順位,艇4_ボーダー状態,艇4_早見,艇4_1着時得点率,艇4_1着時状態,艇4_2着時得点率,艇4_2着時状態,艇4_3着時得点率,艇4_3着時状態,艇4_4着時得点率,艇4_4着時状態,艇4_5着時得点率,艇4_5着時状態,艇4_6着時得点率,艇4_6着時状態,艇5_級別,艇5_登録番号,艇5_選手名,艇5_得点率,艇5_順位,艇5_ボーダー状態,艇5_早見,艇5_1着時得点率,艇5_1着時状態,艇5_2着時得点率,艇5_2着時状態,艇5_3着時得点率,艇5_3着時状態,艇5_4着時得点率,艇5_4着時状態,艇5_5着時得点率,艇5_5着時状態,艇5_6着時得点率,艇5_6着時状態,艇6_級別,艇6_登録番号,艇6_選手名,艇6_得点率,艇6_順位,艇6_ボーダー状態,艇6_早見,艇6_1着時得点率,艇6_1着時状態,艇6_2着時得点率,艇6_2着時状態,艇6_3着時得点率,艇6_3着時状態,艇6_4着時得点率,艇6_4着時状態,艇6_5着時得点率,艇6_5着時状態,艇6_6着時得点率,艇6_6着時状態
202609102101,2026-09-10,21,01R,08:32,2026-09-10T08:22:22.616340+09:00,18,10,08,06,04,02,01,A2,5160,藤森 陸斗,2.00,34,00,12,6.00,3,5.00,2,4.00,2,3.00,0,2.00,0,1.50,0,B1,5383,中村 楓,2.00,34,00,5,6.00,3,5.00,2,4.00,2,3.00,0,2.00,0,1.50,0,B1,3357,福島 陽子,3.00,32,00,,5.33,0,4.67,0,4.00,0,3.33,0,2.67,0,2.33,0,B2,5457,山田 陽翔,1.00,39,00,7,5.50,2,4.50,2,3.50,0,2.50,0,1.50,0,1.00,0,B1,3843,上之 晃弘,2.00,34,00,9,6.00,3,5.00,2,4.00,2,3.00,0,2.00,0,1.50,0,B1,3509,池 千夏,4.00,24,00,6,7.00,3,6.00,3,5.00,2,4.00,2,3.00,0,2.50,0
202609102102,2026-09-10,21,02R,08:58,2026-09-10T08:48:22.819583+09:00,18,10,08,06,04,02,01,A2,4389,伊藤 喜智,8.00,10,01,11,9.00,5,8.00,5,7.00,3,6.00,3,5.00,2,4.50,2,B1,4744,伊藤 玲奈,4.00,26,00,9,7.00,3,6.00,3,5.00,2,4.00,2,3.00,0,2.50,0,B1,5261,岡 暢祐,7.00,12,01,,8.00,5,7.33,5,6.67,5,6.00,5,5.33,0,5.00,0,A1,4771,下寺 秀和,9.00,7,01,12,9.33,5,8.67,5,8.00,5,7.33,5,6.67,3,6.33,3,B1,4020,川上 清人,4.00,26,00,,6.00,5,5.33,0,4.67,0,4.00,0,3.33,0,3.00,0,B2,5469,今泉 博人,2.00,36,00,10,6.00,3,5.00,2,4.00,2,3.00,0,2.00,0,1.50,0
202609102103,2026-09-10,21,03R,09:24,2026-09-10T09:14:25.791104+09:00,18,10,08,06,04,02,01,A2,4675,井手 良太,6.00,13,01,12,8.00,5,7.00,3,6.00,3,5.00,2,4.00,2,3.50,2,B1,5143,常盤 海心,1.00,39,00,8,5.50,2,4.50,2,3.50,0,2.50,0,1.50,0,1.00,0,A1,4848,仲谷 颯仁,10.00,2,01,10,10.00,5,9.33,5,8.67,5,8.00,5,7.33,3,7.00,3,B2,5447,岡本 亜子,1.00,39,00,8,5.50,2,4.50,2,3.50,0,2.50,0,1.50,0,1.00,0,A2,4793,金子 萌,4.50,26,00,9,6.33,3,5.67,2,5.00,2,4.33,0,3.67,0,3.33,0,B1,3998,冨成 謙児,1.00,39,00,7,5.50,2,4.50,2,3.50,0,2.50,0,1.50,0,1.00,0
202609102104,2026-09-10,21,04R,09:50,2026-09-10T09:40:28.474133+09:00,18,10,08,06,04,02,01,A1,4384,鶴本 崇文,-1.00,44,00,,2.67,0,2.00,0,1.33,0,0.67,0,0.00,0,-0.33,0,B1,4408,仁科 さやか,1.00,41,00,9,5.50,2,4.50,2,3.50,0,2.50,0,1.50,0,1.00,0,A2,4261,岡 祐臣,9.00,7,01,11,9.33,5,8.67,5,8.00,5,7.33,5,6.67,3,6.33,3,B1,5317,長尾 萌加,6.00,14,01,10,8.00,3,7.00,3,6.00,3,5.00,2,4.00,2,3.50,0,B1,4092,岡部 大輔,6.00,14,01,12,8.00,5,7.00,3,6.00,3,5.00,2,4.00,2,3.50,2,A2,3837,秋山 広一,10.50,1,01,8,10.33,5,9.67,5,9.00,5,8.33,5,7.67,5,7.33,3
202609102105,2026-09-10,21,05R,10:18,2026-09-10T10:08:18.853636+09:00,18,10,08,06,04,02,01,A2,4834,浜本 裕己,2.00,39,00,12,6.00,3,5.00,2,4.00,2,3.00,2,2.00,0,1.50,0,A1,4991,宗行 治哉,4.00,27,00,10,6.00,3,5.33,2,4.67,2,4.00,2,3.33,0,3.00,0,A2,4330,奈須 啓太,9.50,3,01,9,9.67,5,9.00,5,8.33,5,7.67,5,7.00,5,6.67,3,B1,5383,中村 楓,2.00,39,00,1,4.67,0,4.00,0,3.33,0,2.67,0,2.00,0,1.67,0,B1,3873,別府 昌樹,9.00,6,01,,9.33,5,8.67,5,8.00,5,7.33,5,6.67,5,6.33,5,A2,3541,三嶌 誠司,10.00,1,01,11,10.00,5,9.00,5,8.00,5,7.00,3,6.00,3,5.50,3
202609101701,2026-09-10,17,01R,10:45,2026-09-10T10:36:19.387101+09:00,18,10,08,06,04,02,01,A2,4732,堀本 和也,6.00,18,01,11,7.33,5,6.67,3,6.00,3,5.33,2,4.67,2,4.33,2,B1,3637,齋藤 和政,1.00,40,00,9,5.50,2,4.50,2,3.50,0,2.50,0,1.50,0,1.00,0,B1,4952,吉武 真也,2.00,36,00,10,6.00,3,5.00,2,4.00,2,3.00,0,2.00,0,1.50,0,B1,5249,三木 晴斗,4.00,27,00,6,7.00,3,6.00,3,5.00,2,4.00,2,3.00,0,2.50,0,B1,3920,正木 聖賢,10.00,2,01,8,10.00,5,9.00,5,8.00,3,7.00,3,6.00,3,5.50,2,B2,5450,藤本 遼磨,1.00,40,00,7,5.50,2,4.50,2,3.50,0,2.50,0,1.50,0,1.00,0
202609102106,2026-09-10,21,06R,10:47,2026-09-10T10:38:19.918878+09:00,18,10,08,06,04,02,01,B1,4443,津田 裕絵,5.00,19,00,,6.67,5,6.00,5,5.33,0,4.67,0,4.00,0,3.67,0,A2,4850,野中 一平,6.00,13,01,12,7.33,5,6.67,5,6.00,3,5.33,2,4.67,2,4.33,2,B1,5208,屋良 龍紀,3.50,34,00,,5.67,5,5.00,0,4.33,0,3.67,0,3.00,0,2.67,0,B1,3509,池 千夏,4.00,28,00,1,6.00,5,5.33,0,4.67,0,4.00,0,3.33,0,3.00,0,A1,4137,君島 秀三,9.50,3,01,11,9.67,5,9.00,5,8.33,5,7.67,5,7.00,5,6.67,5,A1,3473,石川 真二,賞除,--,00,,-28.33,0,-29.00,0,-29.67,0,-30.33,0,-31.00,0,-31.33,0
202609101601,2026-09-10,16,01R,10:53,2026-09-10T10:44:25.419090+09:00,18,10,08,06,04,02,01,A1,4364,池永 太,7.80,7,01,11,8.17,5,7.83,5,7.50,5,7.17,3,6.83,3,6.67,3,B1,4374,永田 義紘,4.80,26,00,,5.67,0,5.33,0,5.00,0,4.67,0,4.33,0,4.17,0,B1,4449,中嶋 達也,3.25,34,00,6,4.60,0,4.20,0,3.80,0,3.40,0,3.00,0,2.80,0,B1,3866,木山 誠一,1.75,40,00,8,3.40,0,3.00,0,2.60,0,2.20,0,1.80,0,1.60,0,B1,4382,高山 智至,4.75,28,00,10,5.80,0,5.40,0,5.00,0,4.60,0,4.20,0,4.00,0,B2,5464,宮田 栞,1.00,42,00,7,2.80,0,2.40,0,2.00,0,1.60,0,1.20,0,1.00,0
202609100501,2026-09-10,05,01R,11:03,2026-09-10T10:54:20.905857+09:00,18,10,08,06,04,02,01,B1,4465,大西 賢,4.00,29,00,9,7.00,3,6.00,3,5.00,2,4.00,2,3.00,0,2.50,0,B1,3934,鋤柄 貴俊,6.00,17,01,10,7.33,5,6.67,3,6.00,3,5.33,2,4.67,2,4.33,2,B1,3647,伊藤 雄二,6.00,17,01,,8.00,5,7.00,5,6.00,5,5.00,0,4.00,0,3.50,0,A1,5042,畑田 汰一,6.50,13,01,6,7.67,5,7.00,3,6.33,3,5.67,2,5.00,2,4.67,2,A1,3641,一瀬 明,5.50,23,00,11,7.00,3,6.33,3,5.67,2,5.00,2,4.33,2,4.00,0,B1,3519,冨田 秀幸,5.00,26,00,7,7.50,3,6.50,3,5.50,2,4.50,2,3.50,0,3.00,0
202609101702,2026-09-10,17,02R,11:11,2026-09-10T11:02:22.649704+09:00,18,10,08,06,04,02,01,B1,5236,小宮 涼雅,-2.00,45,00,,2.00,0,1.33,0,0.67,0,0.00,0,-0.67,0,-1.00,0,B1,3497,後藤 浩,2.00,38,00,8,6.00,2,5.00,2,4.00,0,3.00,0,2.00,0,1.50,0,B1,4461,安田 吉宏,4.00,28,00,9,7.00,3,6.00,2,5.00,2,4.00,0,3.00,0,2.50,0,B1,5041,荒牧 凪沙,8.00,7,01,11,9.00,5,8.00,3,7.00,3,6.00,2,5.00,2,4.50,2,B1,3503,堂原 洋史,4.00,28,00,7,6.00,2,5.33,2,4.67,0,4.00,0,3.33,0,3.00,0,B2,5452,上馬場 風依,1.00,41,00,10,5.50,2,4.50,0,3.50,0,2.50,0,1.50,0,1.00,0
