場コード,基準節終了日,モーター番号,使用開始日,使用終了日,グレード,タイトル,使用者名,着順列
11,2026-09-09,11,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,廣瀬 凜,１１１２２１３　３１[４]
11,2026-09-09,11,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,品川 二千翔,３４１　２１３１３２[３]
11,2026-09-09,11,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,白井 英治,４　５１２３３　３　２１
11,2026-09-09,12,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,長谷川 充,６　２３３３６　２６３
11,2026-09-09,12,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,中村 有裕,１２２　２３３２２２[６]
11,2026-09-09,12,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,権藤 俊光,６　５　１５２　３３６
11,2026-09-09,13,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,坂本 一真,１　５５５２２　５２１
11,2026-09-09,13,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,柘植 政浩,２３３３４　１６３４２３
11,2026-09-09,13,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,吉田 裕平,１４５　１　４２６　１５
11,2026-09-09,14,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,杉山 太陽,落４６　１　６５
11,2026-09-09,14,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,高倉 孝太,２　Ｆ１４　２　４　３
11,2026-09-09,14,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,丸野 一樹,３１３２６１３　３１[３]
11,2026-09-09,15,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,藤原 仙二,２　２３３１４１２１[５]
11,2026-09-09,15,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,港 理樹,６３６　３２６　３　５６
11,2026-09-09,15,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,早川 理稀,６６６　６６５　６４転
11,2026-09-09,16,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,中島 秀治,１　１３４６５２４４５４
11,2026-09-09,16,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,宮迫 暢彦,４　６３５３４　５　３４
11,2026-09-09,16,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,中野 次郎,４４１　５　２６４　５４
11,2026-09-09,17,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,廣部 大明,５　４６６　４５５　５４
11,2026-09-09,17,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,澤田 尚也,１　１５２６３１６６１５
11,2026-09-09,17,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,菊地 孝平,６　６　６４３　６３３
11,2026-09-09,18,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,竹間 隆晟,１３５２４１１　２３４１
11,2026-09-09,18,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,川北 浩貴,４４４　２５２　６２１
11,2026-09-09,18,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,上條 暢嵩,１５３　５　４１６１４
11,2026-09-09,19,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,松田 淳平,４５４　４３３　２　４１
11,2026-09-09,19,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,水口 由紀,３　３４４４４　１３６
11,2026-09-09,19,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,大上 卓人,１　４３５　１　２　[６]
11,2026-09-09,20,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,藤井 公人,５Ｆ３　３　４　３　５
11,2026-09-09,20,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,新出 浩司,４　２３３５３　２４４６
11,2026-09-09,20,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,山崎 郡,３　１　６５５　２１２
11,2026-09-09,21,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,西川 拓利,２　１２４６２３１２[２]
11,2026-09-09,21,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,新田 智彰,５６１　３６５　１２３
11,2026-09-09,21,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,孫崎 百世,６２６　５　２５４　５２
11,2026-09-09,22,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,数原 魁,６３１　２４３３１５１３
11,2026-09-09,22,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,金子 良昭,５　Ｆ６６　５　５　３
11,2026-09-09,22,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,入海 馨,６　５４１　３　転２３
11,2026-09-09,23,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,原田 朱理,６　６６６　６６６　５６
11,2026-09-09,23,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,秦 英悟,１１４６４５３　４３２２
11,2026-09-09,23,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,吉田 和仁,２４４　５１６　３６４
11,2026-09-09,24,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,渡邊 雄斗,２３２　２５３６３６２３
11,2026-09-09,24,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,中村 栄治,４３２　４４５６３　４１
11,2026-09-09,24,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,廣瀬 凜,３６１　１２１３２６１２
11,2026-09-09,25,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,吉原 聖人,２１５　５３５　２１３
