レースコード,レース日,レース場コード,レース回,艇1_stadium_number,艇1_race_code,艇1_status,艇1_ncols,艇1_boats
202609150401,2026-09-15,04,01R,4,202609150401,1,6,"{'boat_number': 1, 'registration_number': '5105', 'racer_name': '富田 恕生', 'period': '125期', 'branch': '福岡', 'birthplace': '静岡', 'age': 27, 'grade': 'B1', 'prize_excluded': None, 'f_count': 0, 'l_count': 0, 'national_avg_st': 0.18, 'national_win_rate': 4.31, 'national_double_rate': 22.8, 'national_triple_rate': 36.8, 'local_win_rate': 6.4, 'local_double_rate': 50.0, 'local_triple_rate': 70.0, 'motor_flag': 0, 'motor_number': 75, 'motor_double_rate': 25.4, 'motor_triple_rate': 37.2, 'boat_flag': 0, 'boat_id': 70, 'boat_double_rate': 42.1, 'boat_triple_rate': 63.1, 'hayami': 11, 'sessions': [{'race_number': 2, 'entry_course': 2, 'waku': 2, 'start_timing': 0.2, 'finish_position': '6'}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': 1, 'entry_course': 1, 'waku': 1, 'start_timing': 0.13, 'finish_position': '5'}, {'race_number': 11, 'entry_course': 3, 'waku': 3, 'start_timing': 0.16, 'finish_position': '4'}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}]}"
202609150402,2026-09-15,04,02R,4,202609150402,1,6,"{'boat_number': 1, 'registration_number': '4422', 'racer_name': '永井 亮次', 'period': '99期', 'branch': '大阪', 'birthplace': '大阪', 'age': 38, 'grade': 'B1', 'prize_excluded': None, 'f_count': 0, 'l_count': 0, 'national_avg_st': 0.18, 'national_win_rate': 4.35, 'national_double_rate': 22.7, 'national_triple_rate': 37.9, 'local_win_rate': 3.8, 'local_double_rate': 13.3, 'local_triple_rate': 20.0, 'motor_flag': 0, 'motor_number': 45, 'motor_double_rate': 21.0, 'motor_triple_rate': 36.8, 'boat_flag': 0, 'boat_id': 71, 'boat_double_rate': 40.0, 'boat_triple_rate': 58.3, 'hayami': 7, 'sessions': [{'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': 8, 'entry_course': 2, 'waku': 2, 'start_timing': 0.27, 'finish_position': '5'}, {'race_number': 2, 'entry_course': 1, 'waku': 1, 'start_timing': 0.05, 'finish_position': '1'}, {'race_number': 7, 'entry_course': 5, 'waku': 5, 'start_timing': 0.16, 'finish_position': '4'}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}]}"
202609150403,2026-09-15,04,03R,4,202609150403,1,6,"{'boat_number': 1, 'registration_number': '4104', 'racer_name': '木下 陽介', 'period': '88期', 'branch': '欠場', 'birthplace': None, 'age': None, 'grade': 'B1', 'prize_excluded': None, 'f_count': 0, 'l_count': 0, 'national_avg_st': None, 'national_win_rate': None, 'national_double_rate': None, 'national_triple_rate': None, 'local_win_rate': None, 'local_double_rate': None, 'local_triple_rate': None, 'motor_flag': None, 'motor_number': None, 'motor_double_rate': None, 'motor_triple_rate': None, 'boat_flag': None, 'boat_id': None, 'boat_double_rate': None, 'boat_triple_rate': None, 'hayami': None, 'sessions': [{'race_number': 6, 'entry_course': 5, 'waku': 5, 'start_timing': 0.06, 'finish_position': '6'}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': 3, 'entry_course': None, 'waku': 1, 'start_timing': None, 'finish_position': '欠'}, {'race_number': 8, 'entry_course': None, 'waku': 2, 'start_timing': None, 'finish_position': '欠'}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}]}"
202609150404,2026-09-15,04,04R,4,202609150404,1,6,"{'boat_number': 1, 'registration_number': '5209', 'racer_name': '小野 京平', 'period': '129期', 'branch': '福岡', 'birthplace': '大分', 'age': 28, 'grade': 'B1', 'prize_excluded': None, 'f_count': 0, 'l_count': 0, 'national_avg_st': 0.21, 'national_win_rate': 3.73, 'national_double_rate': 13.5, 'national_triple_rate': 33.7, 'local_win_rate': 2.58, 'local_double_rate': 0.0, 'local_triple_rate': 16.6, 'motor_flag': 0, 'motor_number': 22, 'motor_double_rate': 14.7, 'motor_triple_rate': 29.5, 'boat_flag': 0, 'boat_id': 27, 'boat_double_rate': 15.2, 'boat_triple_rate': 30.5, 'hayami': 8, 'sessions': [{'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': 8, 'entry_course': 6, 'waku': 6, 'start_timing': 0.27, 'finish_position': '4'}, {'race_number': 4, 'entry_course': 1, 'waku': 1, 'start_timing': 0.14, 'finish_position': '5'}, {'race_number': 8, 'entry_course': 4, 'waku': 5, 'start_timing': 0.19, 'finish_position': '5'}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}]}"
202609150405,2026-09-15,04,05R,4,202609150405,1,6,"{'boat_number': 1, 'registration_number': '4697', 'racer_name': '國弘 翔平', 'period': '110期', 'branch': '福岡', 'birthplace': '福岡', 'age': 40, 'grade': 'B1', 'prize_excluded': None, 'f_count': 0, 'l_count': 0, 'national_avg_st': 0.17, 'national_win_rate': 4.39, 'national_double_rate': 22.6, 'national_triple_rate': 42.2, 'local_win_rate': 4.36, 'local_double_rate': 13.6, 'local_triple_rate': 40.9, 'motor_flag': 0, 'motor_number': 70, 'motor_double_rate': 16.6, 'motor_triple_rate': 23.3, 'boat_flag': 0, 'boat_id': 23, 'boat_double_rate': 37.1, 'boat_triple_rate': 58.0, 'hayami': None, 'sessions': [{'race_number': 1, 'entry_course': 5, 'waku': 5, 'start_timing': 0.2, 'finish_position': '4'}, {'race_number': 9, 'entry_course': 4, 'waku': 4, 'start_timing': 0.23, 'finish_position': '3'}, {'race_number': 5, 'entry_course': 1, 'waku': 1, 'start_timing': 0.06, 'finish_position': '4'}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}]}"
202609150406,2026-09-15,04,06R,4,202609150406,1,6,"{'boat_number': 1, 'registration_number': '3771', 'racer_name': '折下 寛法', 'period': '76期', 'branch': '東京', 'birthplace': '東京', 'age': 52, 'grade': 'B1', 'prize_excluded': None, 'f_count': 0, 'l_count': 0, 'national_avg_st': 0.15, 'national_win_rate': 5.18, 'national_double_rate': 27.0, 'national_triple_rate': 50.0, 'local_win_rate': 4.37, 'local_double_rate': 20.0, 'local_triple_rate': 36.6, 'motor_flag': 0, 'motor_number': 41, 'motor_double_rate': 42.0, 'motor_triple_rate': 56.0, 'boat_flag': 0, 'boat_id': 12, 'boat_double_rate': 24.2, 'boat_triple_rate': 42.4, 'hayami': None, 'sessions': [{'race_number': 3, 'entry_course': 2, 'waku': 2, 'start_timing': 0.08, 'finish_position': '1'}, {'race_number': 8, 'entry_course': 4, 'waku': 4, 'start_timing': 0.17, 'finish_position': '1'}, {'race_number': 6, 'entry_course': 1, 'waku': 1, 'start_timing': 0.12, 'finish_position': '1'}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}]}"
202609150407,2026-09-15,04,07R,4,202609150407,1,6,"{'boat_number': 1, 'registration_number': '3915', 'racer_name': '繁野谷 圭介', 'period': '81期', 'branch': '大阪', 'birthplace': '大阪', 'age': 52, 'grade': 'A2', 'prize_excluded': None, 'f_count': 0, 'l_count': 0, 'national_avg_st': 0.19, 'national_win_rate': 6.28, 'national_double_rate': 45.5, 'national_triple_rate': 65.1, 'local_win_rate': 5.33, 'local_double_rate': 39.5, 'local_triple_rate': 48.8, 'motor_flag': 0, 'motor_number': 66, 'motor_double_rate': 30.7, 'motor_triple_rate': 49.2, 'boat_flag': 0, 'boat_id': 29, 'boat_double_rate': 27.4, 'boat_triple_rate': 45.1, 'hayami': None, 'sessions': [{'race_number': 5, 'entry_course': 5, 'waku': 5, 'start_timing': 0.12, 'finish_position': '1'}, {'race_number': 11, 'entry_course': 2, 'waku': 2, 'start_timing': 0.17, 'finish_position': '6'}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': 7, 'entry_course': 1, 'waku': 1, 'start_timing': 0.21, 'finish_position': '1'}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}]}"
202609150408,2026-09-15,04,08R,4,202609150408,1,6,"{'boat_number': 1, 'registration_number': '4508', 'racer_name': '野間 大樹', 'period': '102期', 'branch': '大阪', 'birthplace': '大阪', 'age': 37, 'grade': 'A2', 'prize_excluded': None, 'f_count': 1, 'l_count': 0, 'national_avg_st': 0.18, 'national_win_rate': 4.89, 'national_double_rate': 26.9, 'national_triple_rate': 47.6, 'local_win_rate': 5.57, 'local_double_rate': 57.1, 'local_triple_rate': 57.1, 'motor_flag': 0, 'motor_number': 14, 'motor_double_rate': 39.6, 'motor_triple_rate': 54.7, 'boat_flag': 0, 'boat_id': 24, 'boat_double_rate': 44.4, 'boat_triple_rate': 61.9, 'hayami': None, 'sessions': [{'race_number': 4, 'entry_course': 4, 'waku': 4, 'start_timing': 0.18, 'finish_position': '6'}, {'race_number': 9, 'entry_course': 5, 'waku': 5, 'start_timing': 0.24, 'finish_position': '2'}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': 8, 'entry_course': 1, 'waku': 1, 'start_timing': 0.26, 'finish_position': '4'}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}]}"
202609150409,2026-09-15,04,09R,4,202609150409,1,6,"{'boat_number': 1, 'registration_number': '4053', 'racer_name': '芦澤 望', 'period': '86期', 'branch': '東京', 'birthplace': '千葉', 'age': 48, 'grade': 'A2', 'prize_excluded': None, 'f_count': 1, 'l_count': 0, 'national_avg_st': 0.16, 'national_win_rate': 5.21, 'national_double_rate': 32.9, 'national_triple_rate': 54.8, 'local_win_rate': 5.49, 'local_double_rate': 38.3, 'local_triple_rate': 55.3, 'motor_flag': 0, 'motor_number': 55, 'motor_double_rate': 20.9, 'motor_triple_rate': 41.9, 'boat_flag': 0, 'boat_id': 63, 'boat_double_rate': 36.2, 'boat_triple_rate': 48.2, 'hayami': None, 'sessions': [{'race_number': 6, 'entry_course': 2, 'waku': 2, 'start_timing': 0.09, 'finish_position': '3'}, {'race_number': 11, 'entry_course': 6, 'waku': 6, 'start_timing': 0.15, 'finish_position': '4'}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': 9, 'entry_course': 1, 'waku': 1, 'start_timing': 0.12, 'finish_position': '2'}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}]}"
202609150410,2026-09-15,04,10R,4,202609150410,1,6,"{'boat_number': 1, 'registration_number': '3876', 'racer_name': '中辻 崇人', 'period': '79期', 'branch': '福岡', 'birthplace': '福岡', 'age': 49, 'grade': 'A1', 'prize_excluded': None, 'f_count': 0, 'l_count': 0, 'national_avg_st': 0.15, 'national_win_rate': 6.63, 'national_double_rate': 48.5, 'national_triple_rate': 66.1, 'local_win_rate': 6.57, 'local_double_rate': 42.8, 'local_triple_rate': 85.7, 'motor_flag': 0, 'motor_number': 20, 'motor_double_rate': 25.8, 'motor_triple_rate': 46.5, 'boat_flag': 0, 'boat_id': 68, 'boat_double_rate': 36.3, 'boat_triple_rate': 50.9, 'hayami': 4, 'sessions': [{'race_number': 5, 'entry_course': 6, 'waku': 6, 'start_timing': 0.11, 'finish_position': '2'}, {'race_number': 12, 'entry_course': 3, 'waku': 3, 'start_timing': 0.13, 'finish_position': '1'}, {'race_number': 4, 'entry_course': 5, 'waku': 5, 'start_timing': 0.09, 'finish_position': '2'}, {'race_number': 10, 'entry_course': 1, 'waku': 1, 'start_timing': 0.14, 'finish_position': '2'}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}, {'race_number': None, 'entry_course': None, 'waku': None, 'start_timing': None, 'finish_position': None}]}"
