レースコード,レース日,レース場コード,レース場,レース回,タイトル,日次,グレード,ナイター,レース名,電話投票締切予定,中止状態
202609130201,2026-09-13,02,戸田,1R,第５回漫画アクションカップ,３日目,IP,D,予選,10:47,
202609130202,2026-09-13,02,戸田,2R,第５回漫画アクションカップ,３日目,IP,D,予選,11:16,
202609130203,2026-09-13,02,戸田,3R,第５回漫画アクションカップ,３日目,IP,D,予選,11:45,
202609130204,2026-09-13,02,戸田,4R,第５回漫画アクションカップ,３日目,IP,D,予選,12:14,
202609130205,2026-09-13,02,戸田,5R,第５回漫画アクションカップ,３日目,IP,D,ウインウイン５,12:44,
202609130206,2026-09-13,02,戸田,6R,第５回漫画アクションカップ,３日目,IP,D,予選,13:14,
202609130207,2026-09-13,02,戸田,7R,第５回漫画アクションカップ,３日目,IP,D,ウインウイン７,13:45,
202609130208,2026-09-13,02,戸田,8R,第５回漫画アクションカップ,３日目,IP,D,予選,14:16,
202609130209,2026-09-13,02,戸田,9R,第５回漫画アクションカップ,３日目,IP,D,戸田特賞,14:48,
202609130210,2026-09-13,02,戸田,10R,第５回漫画アクションカップ,３日目,IP,D,戸田特賞,15:21,
202609130211,2026-09-13,02,戸田,11R,第５回漫画アクションカップ,３日目,IP,D,戸田特選,15:55,
202609130212,2026-09-13,02,戸田,12R,第５回漫画アクションカップ,３日目,IP,D,記者選抜戦,16:30,
202609130501,2026-09-13,05,多摩川,1R,にっぽん未来プロジェクト競走ｉｎ多摩川,最終日,IP,D,一般,11:03,
202609130502,2026-09-13,05,多摩川,2R,にっぽん未来プロジェクト競走ｉｎ多摩川,最終日,IP,D,一般,11:32,
202609130503,2026-09-13,05,多摩川,3R,にっぽん未来プロジェクト競走ｉｎ多摩川,最終日,IP,D,一般,12:01,
202609130504,2026-09-13,05,多摩川,4R,にっぽん未来プロジェクト競走ｉｎ多摩川,最終日,IP,D,一般,12:31,
202609130505,2026-09-13,05,多摩川,5R,にっぽん未来プロジェクト競走ｉｎ多摩川,最終日,IP,D,一般,13:01,
202609130506,2026-09-13,05,多摩川,6R,にっぽん未来プロジェクト競走ｉｎ多摩川,最終日,IP,D,一般,13:31,
202609130507,2026-09-13,05,多摩川,7R,にっぽん未来プロジェクト競走ｉｎ多摩川,最終日,IP,D,一般,14:01,
202609130508,2026-09-13,05,多摩川,8R,にっぽん未来プロジェクト競走ｉｎ多摩川,最終日,IP,D,一般,14:32,
202609130509,2026-09-13,05,多摩川,9R,にっぽん未来プロジェクト競走ｉｎ多摩川,最終日,IP,D,静波まつり選抜,15:04,
202609130510,2026-09-13,05,多摩川,10R,にっぽん未来プロジェクト競走ｉｎ多摩川,最終日,IP,D,選抜戦,15:37,
202609130511,2026-09-13,05,多摩川,11R,にっぽん未来プロジェクト競走ｉｎ多摩川,最終日,IP,D,選抜戦,16:09,
202609130512,2026-09-13,05,多摩川,12R,にっぽん未来プロジェクト競走ｉｎ多摩川,最終日,IP,D,優勝戦,16:48,
202609130601,2026-09-13,06,浜名湖,1R,静岡朝日テレビサンライズカップ,３日目,IP,S,予選,11:34,
202609130602,2026-09-13,06,浜名湖,2R,静岡朝日テレビサンライズカップ,３日目,IP,S,予選,11:59,
202609130603,2026-09-13,06,浜名湖,3R,静岡朝日テレビサンライズカップ,３日目,IP,S,予選,12:27,
202609130604,2026-09-13,06,浜名湖,4R,静岡朝日テレビサンライズカップ,３日目,IP,S,ランチタイム戦,12:56,
202609130605,2026-09-13,06,浜名湖,5R,静岡朝日テレビサンライズカップ,３日目,IP,S,予選,13:28,
202609130606,2026-09-13,06,浜名湖,6R,静岡朝日テレビサンライズカップ,３日目,IP,S,予選,13:59,
202609130607,2026-09-13,06,浜名湖,7R,静岡朝日テレビサンライズカップ,３日目,IP,S,予選,14:34,
202609130608,2026-09-13,06,浜名湖,8R,静岡朝日テレビサンライズカップ,３日目,IP,S,ブレイクタイム,15:02,
202609130609,2026-09-13,06,浜名湖,9R,静岡朝日テレビサンライズカップ,３日目,IP,S,予選特賞,15:30,
202609130610,2026-09-13,06,浜名湖,10R,静岡朝日テレビサンライズカップ,３日目,IP,S,予選特賞,16:04,
202609130611,2026-09-13,06,浜名湖,11R,静岡朝日テレビサンライズカップ,３日目,IP,S,予選特選,16:32,
202609130612,2026-09-13,06,浜名湖,12R,静岡朝日テレビサンライズカップ,３日目,IP,S,予選特選,17:06,
202609130701,2026-09-13,07,蒲郡,1R,ルーキーシリーズ第１７戦スカパー！・ＪＬＣ杯,初　日,IP,N,予選,15:19,
202609130702,2026-09-13,07,蒲郡,2R,ルーキーシリーズ第１７戦スカパー！・ＪＬＣ杯,初　日,IP,N,予選,15:48,
202609130703,2026-09-13,07,蒲郡,3R,ルーキーシリーズ第１７戦スカパー！・ＪＬＣ杯,初　日,IP,N,予選,16:12,
202609130704,2026-09-13,07,蒲郡,4R,ルーキーシリーズ第１７戦スカパー！・ＪＬＣ杯,初　日,IP,N,予選,16:40,
