レースコード,レース日,レース場コード,レース回,艇1_選手名,艇1_枠番別勝率,艇1_枠番別平均ST,艇1_枠番別平均スタート順,艇1_過去1走_着順,艇1_過去1走_進入,艇1_過去1走_グレード,艇1_過去2走_着順,艇1_過去2走_進入,艇1_過去2走_グレード,艇1_過去3走_着順,艇1_過去3走_進入,艇1_過去3走_グレード,艇1_過去4走_着順,艇1_過去4走_進入,艇1_過去4走_グレード,艇1_過去5走_着順,艇1_過去5走_進入,艇1_過去5走_グレード,艇1_過去6走_着順,艇1_過去6走_進入,艇1_過去6走_グレード,艇1_過去7走_着順,艇1_過去7走_進入,艇1_過去7走_グレード,艇1_過去8走_着順,艇1_過去8走_進入,艇1_過去8走_グレード,艇1_過去9走_着順,艇1_過去9走_進入,艇1_過去9走_グレード,艇1_過去10走_着順,艇1_過去10走_進入,艇1_過去10走_グレード,艇2_選手名,艇2_枠番別勝率,艇2_枠番別平均ST,艇2_枠番別平均スタート順,艇2_過去1走_着順,艇2_過去1走_進入,艇2_過去1走_グレード,艇2_過去2走_着順,艇2_過去2走_進入,艇2_過去2走_グレード,艇2_過去3走_着順,艇2_過去3走_進入,艇2_過去3走_グレード,艇2_過去4走_着順,艇2_過去4走_進入,艇2_過去4走_グレード,艇2_過去5走_着順,艇2_過去5走_進入,艇2_過去5走_グレード,艇2_過去6走_着順,艇2_過去6走_進入,艇2_過去6走_グレード,艇2_過去7走_着順,艇2_過去7走_進入,艇2_過去7走_グレード,艇2_過去8走_着順,艇2_過去8走_進入,艇2_過去8走_グレード,艇2_過去9走_着順,艇2_過去9走_進入,艇2_過去9走_グレード,艇2_過去10走_着順,艇2_過去10走_進入,艇2_過去10走_グレード,艇3_選手名,艇3_枠番別勝率,艇3_枠番別平均ST,艇3_枠番別平均スタート順,艇3_過去1走_着順,艇3_過去1走_進入,艇3_過去1走_グレード,艇3_過去2走_着順,艇3_過去2走_進入,艇3_過去2走_グレード,艇3_過去3走_着順,艇3_過去3走_進入,艇3_過去3走_グレード,艇3_過去4走_着順,艇3_過去4走_進入,艇3_過去4走_グレード,艇3_過去5走_着順,艇3_過去5走_進入,艇3_過去5走_グレード,艇3_過去6走_着順,艇3_過去6走_進入,艇3_過去6走_グレード,艇3_過去7走_着順,艇3_過去7走_進入,艇3_過去7走_グレード,艇3_過去8走_着順,艇3_過去8走_進入,艇3_過去8走_グレード,艇3_過去9走_着順,艇3_過去9走_進入,艇3_過去9走_グレード,艇3_過去10走_着順,艇3_過去10走_進入,艇3_過去10走_グレード,艇4_選手名,艇4_枠番別勝率,艇4_枠番別平均ST,艇4_枠番別平均スタート順,艇4_過去1走_着順,艇4_過去1走_進入,艇4_過去1走_グレード,艇4_過去2走_着順,艇4_過去2走_進入,艇4_過去2走_グレード,艇4_過去3走_着順,艇4_過去3走_進入,艇4_過去3走_グレード,艇4_過去4走_着順,艇4_過去4走_進入,艇4_過去4走_グレード,艇4_過去5走_着順,艇4_過去5走_進入,艇4_過去5走_グレード,艇4_過去6走_着順,艇4_過去6走_進入,艇4_過去6走_グレード,艇4_過去7走_着順,艇4_過去7走_進入,艇4_過去7走_グレード,艇4_過去8走_着順,艇4_過去8走_進入,艇4_過去8走_グレード,艇4_過去9走_着順,艇4_過去9走_進入,艇4_過去9走_グレード,艇4_過去10走_着順,艇4_過去10走_進入,艇4_過去10走_グレード,艇5_選手名,艇5_枠番別勝率,艇5_枠番別平均ST,艇5_枠番別平均スタート順,艇5_過去1走_着順,艇5_過去1走_進入,艇5_過去1走_グレード,艇5_過去2走_着順,艇5_過去2走_進入,艇5_過去2走_グレード,艇5_過去3走_着順,艇5_過去3走_進入,艇5_過去3走_グレード,艇5_過去4走_着順,艇5_過去4走_進入,艇5_過去4走_グレード,艇5_過去5走_着順,艇5_過去5走_進入,艇5_過去5走_グレード,艇5_過去6走_着順,艇5_過去6走_進入,艇5_過去6走_グレード,艇5_過去7走_着順,艇5_過去7走_進入,艇5_過去7走_グレード,艇5_過去8走_着順,艇5_過去8走_進入,艇5_過去8走_グレード,艇5_過去9走_着順,艇5_過去9走_進入,艇5_過去9走_グレード,艇5_過去10走_着順,艇5_過去10走_進入,艇5_過去10走_グレード,艇6_選手名,艇6_枠番別勝率,艇6_枠番別平均ST,艇6_枠番別平均スタート順,艇6_過去1走_着順,艇6_過去1走_進入,艇6_過去1走_グレード,艇6_過去2走_着順,艇6_過去2走_進入,艇6_過去2走_グレード,艇6_過去3走_着順,艇6_過去3走_進入,艇6_過去3走_グレード,艇6_過去4走_着順,艇6_過去4走_進入,艇6_過去4走_グレード,艇6_過去5走_着順,艇6_過去5走_進入,艇6_過去5走_グレード,艇6_過去6走_着順,艇6_過去6走_進入,艇6_過去6走_グレード,艇6_過去7走_着順,艇6_過去7走_進入,艇6_過去7走_グレード,艇6_過去8走_着順,艇6_過去8走_進入,艇6_過去8走_グレード,艇6_過去9走_着順,艇6_過去9走_進入,艇6_過去9走_グレード,艇6_過去10走_着順,艇6_過去10走_進入,艇6_過去10走_グレード
202609090101,2026-09-09,01,01R,橋本 久和,5.7,0.15,2.7,5,,IP,1,,IP,1,,IP,1,,IP,4,,IP,6,,IP,3,,G3,4,,G3,妨,,IP,1,,IP,小野 信樹,3.9,0.2,3.5,4,,IP,5,,IP,2,,IP,6,,IP,6,,IP,6,,IP,5,,IP,2,,IP,3,4,IP,3,,IP,鈴木 峻佑,5.4,0.13,2.9,4,,IP,3,,IP,4,,IP,1,,IP,3,,IP,5,,IP,2,,IP,3,,IP,3,,IP,5,,IP,山崎 義明,3.9,0.17,2.7,6,,IP,5,,IP,4,,IP,5,5,G3,1,,G3,6,,IP,1,,IP,6,,IP,3,,IP,5,,IP,松本 真広,2.4,0.2,5.1,4,,IP,4,,G3,4,,G3,5,,IP,5,6,IP,6,,IP,4,,IP,落,,IP,5,,IP,6,,IP,鳥本 智史,2.2,0.14,2.9,5,,IP,6,,IP,6,,IP,6,,IP,4,,IP,3,,IP,6,,IP,6,,IP,4,,IP,6,,IP
202609090102,2026-09-09,01,02R,花本 夏樹,6.6,0.17,4.0,2,,IP,3,,IP,4,,IP,2,,IP,3,,IP,4,,IP,1,,IP,1,,IP,4,,IP,3,,IP,山谷 央,5.4,0.18,4.4,4,,IP,6,,IP,2,,IP,3,,IP,5,,IP,2,,IP,2,3,IP,6,,IP,2,,IP,2,,IP,廣瀬 将亨,7.3,0.14,2.5,4,,IP,1,,IP,1,,IP,1,,G3,1,,G3,4,,IP,3,,IP,1,,G2,6,,G2,3,,IP,山本 隆幸,6.3,0.16,3.0,1,,IP,5,,IP,4,,IP,3,,IP,4,,G3,4,,IP,3,,IP,3,,IP,1,6,G1,2,,IP,眞鳥 康太,5.3,0.18,3.6,1,6,IP,3,,IP,1,,IP,6,,IP,2,6,IP,4,6,IP,5,,IP,6,6,IP,1,4,IP,6,6,IP,松尾 光広,2.8,0.2,4.6,5,,IP,4,,IP,3,,IP,6,,IP,5,5,IP,6,,IP,3,,IP,6,,IP,4,,IP,6,,IP
202609090103,2026-09-09,01,03R,齋藤 勇,7.0,0.15,3.3,2,,IP,4,,IP,1,,IP,4,,IP,5,,IP,1,,IP,2,,IP,2,,IP,3,,IP,1,,IP,相馬 翔,3.7,0.19,3.7,6,4,IP,4,,IP,5,,IP,6,,IP,4,,IP,4,,IP,4,,IP,6,,IP,1,,IP,3,,IP,笠 雅雄,6.7,0.12,2.4,1,,IP,6,,IP,2,,IP,4,,IP,1,,IP,2,,IP,4,,IP,3,,IP,2,,IP,2,,IP,山本 寛久,6.8,0.17,3.0,1,,IP,2,,G3,6,,IP,2,,IP,3,,G2,6,,G2,3,,IP,3,,IP,1,,IP,1,,IP,笠置 博之,5.9,0.12,2.8,6,,IP,6,,IP,5,6,IP,3,6,IP,1,6,IP,6,4,IP,2,,IP,1,4,IP,1,,IP,1,6,IP,笠原 亮,5.56,0.18,4.0,4,,IP,4,,IP,4,,IP,2,,IP,不,5,IP,2,5,IP,3,,IP,1,5,IP,6,,G1,4,,IP
202609090104,2026-09-09,01,04R,武富 智亮,8.0,0.13,2.9,5,,IP,1,,G3,1,,G3,1,,IP,4,,IP,1,,IP,2,,IP,1,,IP,2,,IP,2,,IP,萩原 知哉,5.2,0.15,3.1,3,,IP,2,,IP,1,,IP,2,,IP,4,6,IP,5,,IP,6,,IP,4,,IP,6,,IP,2,,IP,宇佐見 淳,6.7,0.12,2.9,3,,IP,2,,IP,2,,IP,2,,IP,6,,IP,2,,IP,2,,IP,3,,IP,2,,IP,3,4,IP,湯川 浩司,7.5,0.16,2.8,3,,IP,3,,IP,3,,IP,3,,IP,3,,IP,1,,IP,2,,SG,3,,G2,2,,G2,2,,IP,前川 守嗣,2.8,0.14,2.7,6,,IP,6,,IP,5,,IP,5,,IP,5,,IP,3,,IP,5,,IP,2,,IP,5,,IP,5,6,IP,谷野 錬志,7.0,0.14,2.5,1,,IP,4,,G3,1,,G3,4,,IP,4,,IP,2,,IP,2,,G2,5,,G2,3,,SG,1,,IP
202609090105,2026-09-09,01,05R,林 美憲,8.2,0.19,2.8,2,,IP,1,,IP,1,,IP,2,,IP,1,,IP,1,,IP,4,,IP,2,,IP,4,,IP,1,,IP,中島 航,4.0,0.17,4.0,6,,IP,5,,IP,6,,IP,3,,IP,5,,IP,4,,IP,2,,IP,4,,IP,2,,IP,5,,IP,松江 秀徳,4.6,0.14,3.3,2,,IP,4,,IP,6,,G2,6,,G2,5,,IP,3,,IP,欠,,G3,2,,IP,3,,IP,2,,IP,河野 真也,5.4,0.15,3.0,3,,IP,5,,IP,妨,,IP,3,,IP,1,3,IP,1,3,IP,1,,IP,4,,IP,4,,IP,5,,IP,加倉 侑征,4.7,0.12,3.0,5,,IP,4,,IP,3,,IP,6,,G3,2,,G3,5,,IP,3,,IP,5,6,IP,2,,IP,2,,IP,赤岩 善生,8.0,0.15,3.5,1,2,IP,1,3,G3,1,2,G3,1,3,IP,1,2,IP,1,2,IP,3,,G3,5,3,G2,2,2,IP,6,,SG
202609090106,2026-09-09,01,06R,田村 隆信,6.5,0.18,4.2,1,,IP,1,,IP,3,,IP,1,,IP,2,,IP,1,,IP,5,,IP,6,,IP,5,,IP,3,,IP,松浦 勝,2.0,0.2,4.0,6,,IP,6,,IP,5,,IP,4,,IP,3,,IP,6,,IP,5,3,IP,6,,IP,6,,IP,6,,IP,三品 隆浩,4.7,0.21,4.3,5,4,IP,3,4,IP,2,,IP,5,,IP,3,,IP,1,,IP,5,,IP,6,,IP,2,,IP,5,,IP,阪本 勇介,6.4,0.16,3.1,2,,IP,5,,IP,3,,IP,1,,IP,2,,IP,4,,IP,4,5,IP,1,,IP,2,,IP,4,,IP,八木 治樹,3.3,0.14,2.9,6,,IP,2,,IP,5,,IP,5,,IP,2,,IP,5,,IP,5,,IP,5,,IP,4,,IP,5,,IP,品川 賢次,3.8,0.23,4.3,4,,IP,4,,IP,5,,IP,3,,IP,5,,IP,3,,IP,5,,IP,3,,IP,5,,IP,4,,IP
202609090107,2026-09-09,01,07R,若林 樹蘭,6.6,0.13,3.0,1,,IP,1,,IP,2,,IP,1,,IP,3,,IP,3,,IP,F,,IP,1,,IP,5,,IP,4,,IP,廣瀬 篤哉,4.9,0.14,2.2,5,,IP,1,,IP,6,5,IP,4,,IP,4,,IP,1,,IP,3,4,IP,4,,IP,5,4,IP,3,,IP,鳥居塚 孝博,5.8,0.18,3.9,4,,IP,4,,IP,4,,G3,2,,G3,3,,G3,2,,G3,4,2,G3,2,,IP,5,,IP,1,,IP,松本 真広,3.4,0.22,5.0,6,,IP,3,,G3,4,,G3,5,,G3,6,6,G3,3,,IP,3,,IP,F,,IP,5,,IP,3,,IP,相馬 翔,3.0,0.24,4.4,5,,IP,5,,IP,4,4,IP,4,,IP,6,,IP,4,,IP,6,,IP,4,,IP,5,,IP,3,,IP,森 智哉,2.9,0.19,4.6,5,,IP,4,,IP,5,,IP,5,,IP,5,,IP,6,,IP,5,,IP,3,,IP,3,,IP,5,,IP
202609090108,2026-09-09,01,08R,伊藤 将吉,8.6,0.15,3.1,1,,IP,1,,IP,1,,IP,4,,IP,1,,IP,2,,IP,2,,IP,3,,IP,1,,IP,1,,IP,前川 守嗣,7.6,0.15,2.7,1,,IP,2,,IP,4,,IP,3,,IP,2,3,IP,2,,IP,2,,IP,4,,IP,1,,IP,1,,IP,澤 大介,3.8,0.19,3.1,5,,IP,4,,IP,5,,IP,5,,IP,6,,IP,6,,IP,5,,IP,2,,IP,1,2,IP,3,,IP,吉田 翔悟,3.1,0.13,2.1,6,,IP,2,,IP,5,5,IP,4,,IP,6,,IP,2,5,IP,6,,IP,5,,IP,5,,IP,5,5,IP,山崎 義明,3.8,0.14,3.3,5,,IP,4,,IP,6,,IP,3,,IP,5,,IP,2,,IP,2,,G3,4,6,G3,5,,IP,6,,IP,谷口 丞,3.3,0.11,3.4,6,,IP,3,,IP,6,,IP,5,5,IP,4,,IP,3,,IP,3,5,IP,4,,IP,6,,IP,5,,IP
202609090109,2026-09-09,01,09R,笠原 亮,9.2,0.15,4.0,1,,IP,1,,IP,1,,IP,1,,IP,2,,IP,2,,IP,2,,IP,2,,IP,1,,IP,1,,IP,山本 寛久,7.0,0.11,2.2,2,,IP,3,,G3,1,,G3,1,,G3,5,,IP,5,,G2,2,,G2,2,,G2,3,,IP,4,,IP,湯川 浩司,5.6,0.1,3.1,4,,IP,4,,IP,5,,IP,2,,IP,5,,SG,4,5,SG,4,,SG,6,,G2,2,,G2,1,,G2,松江 秀徳,5.3,0.16,2.3,3,,IP,6,,IP,6,,G2,6,,G2,4,,IP,1,,IP,3,,IP,1,,IP,5,,IP,1,,IP,山谷 央,4.2,0.14,2.7,5,6,IP,4,,IP,5,,IP,4,,IP,3,,IP,3,,IP,3,,IP,5,6,IP,4,,IP,3,,IP,花本 夏樹,2.9,0.22,4.7,2,5,IP,6,3,IP,4,,IP,6,4,IP,6,,IP,4,5,IP,5,5,IP,6,,IP,3,4,IP,6,5,IP
202609090110,2026-09-09,01,10R,赤岩 善生,8.5,0.1,1.8,1,,IP,1,,IP,1,,G3,4,,G3,F,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,笠 雅雄,6.1,0.17,3.2,2,,IP,2,,IP,5,,IP,4,,IP,2,,IP,2,,IP,2,,IP,1,,IP,4,,IP,6,,IP,田村 隆信,6.3,0.15,3.0,2,,IP,2,,IP,3,,IP,2,,IP,3,,IP,5,,IP,1,,IP,5,,IP,2,,IP,4,,G2,廣瀬 将亨,4.7,0.12,2.7,2,,IP,4,,IP,2,,IP,5,,IP,6,,IP,3,5,G3,3,,IP,4,,IP,5,,G2,4,,G2,林 美憲,5.4,0.12,2.2,2,4,IP,3,,IP,4,,IP,2,4,IP,1,,IP,5,,IP,2,2,IP,6,4,IP,3,,IP,6,,IP,武富 智亮,5.44,0.12,3.3,5,,IP,2,,G3,2,,IP,2,,IP,3,,IP,5,,IP,3,,G2,エ,,G2,6,,G2,3,,IP
