レースコード,レース日,レース場,レース回,締切時刻,取得日時,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,複勝_3着_艇番,複勝_3着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気
202609112101,2026-09-11,21,01R,08:32,2026-09-11T08:40:23.815879+09:00,1,110,1,100,3,220,,,1-3,410,2,1=3,510,2,1=3,140,2,1=6,120,1,3=6,170,3,1-3-6,800,2,1=3=6,340,1
202609111401,2026-09-11,14,01R,08:44,2026-09-11T08:54:22.909696+09:00,1,110,1,100,4,270,,,1-4,440,3,1=4,340,2,1=4,180,4,1=5,160,2,4=5,350,6,1-4-5,1360,7,1=4=5,570,3
202609112102,2026-09-11,21,02R,08:58,2026-09-11T09:06:21.483780+09:00,1,120,1,100,4,110,,,1-4,150,1,1=4,120,1,1=4,100,1,1=2,170,3,2=4,220,4,1-4-2,390,1,1=2=4,230,1
202609111402,2026-09-11,14,02R,09:10,2026-09-11T09:18:26.674284+09:00,1,110,1,140,3,130,,,1-3,260,1,1=3,180,1,1=3,100,1,1=2,170,3,2=3,200,4,1-3-2,550,1,1=2=3,230,1
202609112103,2026-09-11,21,03R,09:24,2026-09-11T09:32:24.965707+09:00,1,120,1,100,5,220,,,1-5,660,3,1=5,520,3,1=5,240,2,1=4,410,5,4=5,1430,14,1-5-4,6380,21,1=4=5,2770,9
202609111403,2026-09-11,14,03R,09:36,2026-09-11T09:46:26.526948+09:00,3,170,3,170,2,470,,,3-2,1320,5,2=3,1080,3,2=3,570,7,3=6,290,3,2=6,630,9,3-2-6,3630,12,2=3=6,1620,6
202609112104,2026-09-11,21,04R,09:50,2026-09-11T09:58:21.933221+09:00,1,120,1,100,2,180,,,1-2,350,2,1=2,220,1,1=2,120,2,1=3,120,1,2=3,320,7,1-2-3,540,2,1=2=3,220,1
202609111404,2026-09-11,14,04R,10:02,2026-09-11T10:12:20.413826+09:00,1,140,1,190,2,220,,,1-2,350,2,1=2,300,2,1=2,160,2,1=5,310,4,2=5,330,5,1-2-5,1510,4,1=2=5,620,3
202609112105,2026-09-11,21,05R,10:20,2026-09-11T10:28:22.020097+09:00,6,520,6,220,5,270,,,6-5,980,5,5=6,400,2,5=6,140,2,1=6,120,1,1=5,160,3,6-5-1,1420,5,1=5=6,200,1
202609111405,2026-09-11,14,05R,10:28,2026-09-11T10:38:23.357560+09:00,1,110,1,100,2,170,,,1-2,270,1,1=2,240,1,1=2,130,2,1=3,120,1,2=3,300,5,1-2-3,630,2,1=2=3,290,1
202609111301,2026-09-11,13,01R,10:37,2026-09-11T10:46:25.245030+09:00,1,160,1,130,5,290,,,1-5,2110,9,1=5,3440,7,1=5,300,8,1=3,120,1,3=5,240,5,1-5-3,5170,20,1=3=5,460,3
202609111701,2026-09-11,17,01R,10:42,2026-09-11T10:50:27.079098+09:00,3,430,3,140,2,410,,,3-2,2580,7,2=3,1610,5,2=3,230,4,3=6,340,6,2=6,1330,11,3-2-6,12440,32,2=3=6,4380,13
202609110201,2026-09-11,02,01R,10:47,2026-09-11T10:56:19.415165+09:00,1,290,1,130,3,100,,,1-3,490,2,1=3,480,2,1=3,270,4,1=4,420,8,3=4,940,12,1-3-4,4450,18,1=3=4,1290,5
202609111601,2026-09-11,16,01R,10:49,2026-09-11T10:58:20.977699+09:00,1,100,1,100,3,170,,,1-3,160,1,1=3,250,2,1=3,100,2,1=2,100,1,2=3,190,4,1-3-2,510,2,1=2=3,240,1
